hex_id,cate,se,adj_cate,t_stat,sig_95
1,0.006200441711425345,0.01711663006106779,0.01891534553313431,0.362246639046573,FALSE
2,0.006318972522300326,0.016509620456050034,0.019276940940102096,0.38274486921864437,FALSE
3,0.006538932527187708,0.016849618002533234,0.01994796079474376,0.38807601016264115,FALSE
4,0.0075684892401278545,0.015433345918907592,0.023088772671958246,0.49039847094048483,FALSE
5,0.003212690485924173,0.022301372284291663,0.00980077766399959,0.1440579729789581,FALSE
6,0.005058430904356196,0.0248319022224857,0.015431476153557349,0.20370694355326927,FALSE
7,0.006281937444742833,0.0169036756722592,0.01916396007173016,0.3716314467067176,FALSE
8,0.007506273066954348,0.01386328804570613,0.022898973224096706,0.5414496937672202,FALSE
9,0.007725170179068555,0.016141257537192033,0.023566750570380903,0.47859778962503574,FALSE
10,0.0014416770476202076,0.025012952818113002,0.004398044651024778,0.05763721932806848,FALSE
11,0.006142098074423419,0.028850303833491325,0.018737359817775093,0.21289543811643566,FALSE
12,0.003043484015779795,0.024673017479700913,0.009284588818400856,0.1233527280675638,FALSE
13,0.00724228203408485,0.015969168075975114,0.022093630340996255,0.45351655137129737,FALSE
14,0.005489898718064243,0.016717958144570173,0.016747731214495194,0.32838332711386214,FALSE
15,0.006949171956957556,0.014895626526953473,0.021199455595688973,0.46652431466263644,FALSE
16,7.714082721324313e-4,0.03623432571214369,0.002353292667458814,0.021289433623264558,FALSE
17,-0.00815350089842422,0.038992045555549186,-0.024873435470609714,-0.20910677504232264,FALSE
18,0.003277672848117846,0.025712840701678976,0.009999015772131092,0.12747221849757825,FALSE
19,0.0018415203753649758,0.03588876515646634,0.005617824636936774,0.05131189015103729,FALSE
20,0.007726414548463324,0.017007039806506436,0.023570546699458215,0.4543068421294225,FALSE
21,0.004503430940484104,0.01646767625841867,0.01373836837573995,0.27347094209371786,FALSE
22,-0.0024011186013321714,0.02851679426923448,-0.007324960079302737,-0.08420015863854069,FALSE
23,-0.09008190558019656,0.1366254628131192,-0.2748079007327531,-0.6593346783638242,FALSE
24,-0.011973294622259819,0.04330498834382802,-0.036526269496693776,-0.2764876537362305,FALSE
25,-0.006264040470950948,0.025824186219162944,-0.019109362760921293,-0.24256487378884725,FALSE
26,0.007020389207065516,0.021485310909493897,0.02141671413248474,0.3267529726071293,FALSE
27,0.007711097857946149,0.015099652047462489,0.02352382091651559,0.5106805000345691,FALSE
28,-0.032706409021561286,0.094011211519151,-0.09977563802444622,-0.3478990270740067,FALSE
29,-0.08942063762157808,0.1386545411503275,-0.27279060704475494,-0.6449167613243143,FALSE
30,-0.05290201122601062,0.0941060547259995,-0.1613852477467628,-0.5621531088519315,FALSE
31,-0.010138573872762627,0.10537596843919549,-0.030929188103346925,-0.09621333993825008,FALSE
32,0.008327239353527999,0.01558856625658961,0.025403449792754752,0.5341889187536989,FALSE
33,0.007114119760348181,0.017582149726420235,0.02170265276151604,0.4046217255025408,FALSE
34,0.005391492084647304,0.01973332427023441,0.01644752752571542,0.2732176297725867,FALSE
35,-0.06774599588151084,0.09227611959025121,-0.2066689729900706,-0.7341660679093843,FALSE
36,-0.06787530826371722,0.10415439438800364,-0.20706345914202315,-0.6516797362467791,FALSE
37,-0.09862741476426913,0.09256565300708082,-0.30087721425850633,-1.0654860799904324,FALSE
38,-0.014409181329176911,0.08510794777430716,-0.04395729471801042,-0.16930476772143285,FALSE
39,0.009245528405471359,0.014673943648201996,0.028204823553723477,0.6300643253870079,FALSE
40,0.006119855680077676,0.015137664586888174,0.018669506172161635,0.40428004233747694,FALSE
41,0.004417043977532337,0.021188976128696736,0.0134748324326829,0.20845952870512838,FALSE
42,-0.001366496215926778,0.026071845000761845,-0.004168694634504305,-0.0524127163185746,FALSE
43,-0.060831217760180245,0.10052547853436146,-0.18557444077167826,-0.6051323370660405,FALSE
44,-0.09561891926088179,0.13719913015147825,-0.2916993629650102,-0.6969353169754884,FALSE
45,-0.10085260670001824,0.15327629824342437,-0.30766548456264936,-0.6579791386914243,FALSE
46,-0.009874197555080833,0.06335346546807458,-0.03012266985312064,-0.15585883869378372,FALSE
47,0.007423527624583556,0.025555835630666778,0.022646546267021773,0.2904826800370945,FALSE
48,0.006389325566883153,0.016393003883500342,0.019491563092769063,0.38975929074927185,FALSE
49,0.005863299981861978,0.0137198070815137,0.017886845854381,0.4273602352442905,FALSE
50,0.007447374610333118,0.01779648048567495,0.022719294951126894,0.4184745751457872,FALSE
51,0.008078025474477071,0.015670528729397618,0.024643186757749555,0.5154915710867398,FALSE
52,-0.05767051413128467,0.11335237410469175,-0.17593225654499228,-0.5087720004701485,FALSE
53,-0.014711697666447067,0.0720036374750536,-0.044880164622317253,-0.20431881197035476,FALSE
54,-0.09679944427744476,0.13823179534520902,-0.29530072551917325,-0.7002690230254593,FALSE
55,-0.08470292367677172,0.12097645425893237,-0.25839853732687273,-0.700160408863344,FALSE
56,-0.016024511444354836,0.06554301464844534,-0.04888509320410316,-0.24448847112550282,FALSE
57,0.007494998718479966,0.016838678202016406,0.022864579191061777,0.44510611988430604,FALSE
58,0.007880534145932783,0.016530202642876832,0.0240407108547297,0.47673548329600485,FALSE
59,0.0069643850401048535,0.016414686001340432,0.02124586530934295,0.42427768886569855,FALSE
60,0.008291712848812844,0.011754163858263314,0.025295071044345037,0.7054277061982315,FALSE
61,0.002258979597571176,0.012934148832436453,0.006891344460447633,0.174652358406923,FALSE
62,0.0030477109268688997,0.02474906788102779,0.009297483622917916,0.12314447321893777,FALSE
63,0.008710250102083782,0.019257953992715456,0.026571879557764452,0.45229363957243507,FALSE
64,-0.007450626135168235,0.02619977496908161,-0.022729214198598,-0.28437748583568867,FALSE
65,-4.443050309107665e-4,0.01822553852363084,-0.0013554168513996293,-0.024378156526606343,FALSE
66,-0.01813156921993112,0.04978456709685136,-0.05531297814169752,-0.36420060025143525,FALSE
67,-0.0010283676526994937,0.026124323021445656,-0.0031371844767229683,-0.03936437517846104,FALSE
68,0.008504806520024548,0.0303544129703004,0.02594514415356662,0.280183528119812,FALSE
69,-0.021315385257947052,0.08250897542364966,-0.06502567012008274,-0.25834020054789575,FALSE
70,-0.05446635341298802,0.0849546507443098,-0.16615750017262013,-0.6411226805806878,FALSE
71,-0.0434166265954056,0.1653845871870015,-0.13244870803670222,-0.26251918231240085,FALSE
72,0.007276603222542242,0.02996813303745601,0.022198332097579685,0.24281136277149787,FALSE
73,0.007056547183766395,0.01678381399320543,0.021527019277651393,0.4204376422798232,FALSE
74,0.0021991559543073783,0.037713945181862,0.006708843771617583,0.058311479843934005,FALSE
75,0.00683064008638293,0.015135675209200831,0.020837856955953932,0.4512940448293083,FALSE
76,0.008228988686940508,0.011877759051444448,0.025103721903378954,0.6928065008979775,FALSE
77,-0.06609406638488988,0.0666031085165545,-0.20162952278971072,-0.9923570814785905,FALSE
78,-0.008447735981204973,0.03649606648704342,-0.025771042208612403,-0.23146976631588584,FALSE
79,0.005840501193768054,0.015128039897430492,0.01781729484904881,0.3860712447459943,FALSE
80,0.003184361867026449,0.016258180580402685,0.009714357108841472,0.1958621293002995,FALSE
81,3.925988958850794e-5,0.0397161919007064,1.1976797972166071e-4,9.885109248807323e-4,FALSE
82,0.0030412234888448934,0.020038360488224882,0.00927769275356376,0.15177007573209414,FALSE
83,0.013453053132639529,0.018887717404186176,0.041040487165711105,0.7122646344580454,FALSE
