hex_id,cate,se,in_zone,adj_cate,t_stat,sig_95
1,0.00884902450284418,0.017594523564101544,0,0.008868610268172815,0.50294197911099,FALSE
2,0.0010776431506448881,0.006849001869986597,0,0.0010800283249485368,0.1573430948190115,FALSE
3,0.008306410005925998,0.016951315124652682,0,0.008324794789135401,0.4900156680967955,FALSE
4,0.0027630562695398794,0.007659954277194775,0,0.002769171810486526,0.36071445984554423,FALSE
5,0.00483458673679972,0.010718280835726166,0,0.004845287247489623,0.45105990511883953,FALSE
6,0.003609038170761826,0.010934466856924426,0,0.0036170261444251274,0.3300607352864529,FALSE
7,0.005269989547006339,0.00810493310069914,0,0.005281653745531143,0.6502199933706725,FALSE
8,0.005108672007791654,0.007412456700736779,0,0.005119979158207321,0.689200924072024,FALSE
9,0.0031129185960827557,0.0077022639468091346,0,0.00311980849599098,0.4041563126867866,FALSE
10,0.010443052535875283,0.01830402035718197,0,0.010466166402970637,0.5705332671233471,FALSE
11,0.006734398533177895,0.013327790727118448,0,0.006749303944419319,0.5052899367241126,FALSE
12,0.006779210422237424,0.013516331911372328,0,0.006794215016743937,0.5015569658017611,FALSE
13,0.001204294008590247,0.0069153441609990105,0,0.0012069595023778785,0.174148094520327,FALSE
14,0.00365131247537536,0.013444331871679085,0,0.003659394015805182,0.2715874994924044,FALSE
15,0.002066898669212697,0.006153940339320978,0,0.0020714733872824976,0.3358658932726601,FALSE
16,0.03694059328838669,0.03379569238327714,0,0.037022354819390965,1.093056264965464,FALSE
17,0.016802098605102206,0.04065541437726429,0,0.016839287106524294,0.41328071211342604,FALSE
18,0.0073862408908928175,0.01449136347937818,0,0.007402589040985893,0.5096995118094821,FALSE
19,0.008498321048154943,0.01868402480696271,0,0.00851713059283222,0.45484423918062855,FALSE
20,0.0013474523753624745,0.007114150421056006,0,0.0013504347251126509,0.18940453822488368,FALSE
21,0.004723826402452287,0.01321503906239224,0,0.0047342817645480645,0.35745837603276526,FALSE
22,0.015609971095527688,0.025047822311669295,0,0.015644521031576066,0.6232067163880871,FALSE
23,0.21042472711734275,0.06679224817198269,0,0.21089046538299427,3.1504363586553072,TRUE
24,0.042835342350458626,0.031030770269818986,0,0.042930150875712246,1.3804150518339195,FALSE
25,0.015749971095920325,0.025927637049968463,0,0.015784830897440632,0.607458792545057,FALSE
26,0.005785370736066311,0.012458238924633085,0,0.00579817564055486,0.46438110322536613,FALSE
27,0.0028398389964953176,0.007352637345903955,0,0.0028461244825552317,0.3862340630844998,FALSE
28,0.13877049351661044,0.037460313776290166,0,0.13907763769048878,3.7044669285296465,TRUE
29,0.21617776953158815,0.06810591970864956,0,0.216656241148652,3.1741406687755696,TRUE
30,0.11235238346723647,0.02916888090362961,0,0.11260105578315048,3.851789303759541,TRUE
31,0.00990926693483664,0.04133137449786596,0,0.00993119936102691,0.2397516911843394,FALSE
32,0.0023346362892345514,0.007876558355615102,0,0.0023398035976168446,0.2964030968640279,FALSE
33,0.0016115404229633133,0.00653608696402674,0,0.0016151072853368578,0.24656043162107477,FALSE
34,0.008244948343888638,0.012235990768812403,0,0.008263197092477617,0.673827604128609,FALSE
35,0.07500460787714718,0.031999494501250475,0,0.07517061743537316,2.343931022854631,TRUE
36,0.08988900416651092,0.03626107280220009,0,0.09008795772807741,2.4789394582130795,TRUE
37,0.14509532667746183,0.05160131447309402,0,0.14541646976138856,2.811853305657892,TRUE
38,0.0356076667898676,0.07526956527977752,0,0.03568647812160506,0.4730685856562828,FALSE
39,0.0026459282486690273,0.0073863055869666586,0,0.0026517845472630907,0.358220793536872,FALSE
40,0.007952786986955973,0.01646984454263133,0,0.00797038908757001,0.4828695842496024,FALSE
41,0.0034697517428043073,0.008875350848971102,0,0.0034774314303632407,0.3909424880039021,FALSE
