hex_id,cate,se,in_zone,adj_cate,t_stat,sig_95
1,-10.317386176359985,12.443540298922503,0,-10.432179077867882,-0.8291359153836129,FALSE
2,-4.590169810268754,4.636666538624536,0,-4.641240779400647,-0.9899719490352706,FALSE
3,-10.874786487746533,11.457751959885366,0,-10.995781114958183,-0.949120431810721,FALSE
4,-4.769129310862631,4.891497831273873,0,-4.822191412242016,-0.9749834253980699,FALSE
5,-4.558564813157687,4.672321133375045,0,-4.609284139997771,-0.9756531460552269,FALSE
6,-7.740642414871539,4.2628495573185194,0,-7.826766049981192,-1.8158375778432754,FALSE
7,-7.059316842312938,2.407627035567136,0,-7.137859939289324,-2.932064118747553,TRUE
8,-5.792942952484541,2.63191653778256,0,-5.857396169454271,-2.2010359634599985,TRUE
9,-4.86380655364241,4.955015174469186,0,-4.917922049284614,-0.9815926656901618,FALSE
10,-4.723772720198623,4.743584524260929,0,-4.77633017683991,-0.9958234529265834,FALSE
11,-4.441482303364027,4.580056568557335,0,-4.490898951329317,-0.9697439839183126,FALSE
12,-7.668430866251851,4.18625924414263,0,-7.75375106403283,-1.8318098376208876,FALSE
13,-7.694713868829606,3.859496431253367,0,-7.78032649553344,-1.9937092845894293,TRUE
14,-6.158769231242379,2.4521929726338425,0,-6.2272926903517964,-2.511535307365061,TRUE
15,-4.745582667694379,5.080812993547908,0,-4.798382785326732,-0.9340203376350918,FALSE
16,-4.8668093967488035,4.604113927936872,0,-4.920958302507393,-1.0570566829847425,FALSE
17,-4.512190106937375,4.5594594399107615,0,-4.562393461321586,-0.9896326892263545,FALSE
18,-7.90102900985238,4.096595860777182,0,-7.988937132068176,-1.9286815879254058,FALSE
19,-7.6210123407080665,3.976651678290931,0,-7.705804952331141,-1.9164394966529716,FALSE
20,-7.861906242768054,3.8990154754392217,0,-7.9493790787716385,-2.016382415584646,TRUE
21,-5.4609490308361135,2.230743228148825,0,-5.521708429924302,-2.4480401697186207,TRUE
22,-4.74019988308968,4.921220911779739,0,-4.792940110992949,-0.9632162359838886,FALSE
23,-3.2999496932370924,3.6100548879622254,0,-3.336665465395039,-0.9140995900757125,FALSE
24,-7.053440219701338,4.17000446279589,0,-7.13191793242738,-1.6914706645115127,FALSE
25,-8.027053862739766,3.950514897048991,0,-8.116364157780904,-2.031900669134528,TRUE
26,-7.47199844263811,3.753993066341288,0,-7.555133101613871,-1.9904134905396775,TRUE
27,-4.66673244157818,5.074639372841411,0,-4.718655258886041,-0.9196185381277971,FALSE
28,-4.348886791831454,4.551967809787554,0,-4.397273207211306,-0.9553861041109651,FALSE
29,-5.524705433226047,5.178496621550769,0,-5.586174196323195,-1.066855081112634,FALSE
30,-6.670569271473386,4.191388846329148,0,-6.744787100320034,-1.5914937783249399,FALSE
31,-7.543554860341244,3.60162856413825,0,-7.62748566755351,-2.0944844050419635,TRUE
32,-7.432042112612779,3.9918346132658264,0,-7.514732211020696,-1.8618111301290678,FALSE
33,-4.818728796422405,5.218388314507854,0,-4.872342749672349,-0.9234132276100766,FALSE
34,-4.558749315514717,4.892269169467496,0,-4.609470695157763,-0.9318271660042203,FALSE
35,-4.382447814501845,4.446795343683319,0,-4.431207635229142,-0.9855294601599149,FALSE
36,-6.614722644873496,4.2066499928076935,0,-6.688319115151486,-1.572444262342481,FALSE
37,-6.20911446751572,4.189180435759833,0,-6.278198075838333,-1.48217880865509,FALSE
38,-7.702726200415943,3.487823267157156,0,-7.788427973612397,-2.2084623016734035,TRUE
39,-6.9882225970607506,3.860610027968934,0,-7.065974688005811,-1.810134291325263,FALSE
40,-6.2852390530356,1.916146667510922,0,-6.355169635766123,-3.280145074280841,TRUE
41,-4.613044170365528,5.13684200837281,0,-4.664369643314644,-0.898031156661327,FALSE
42,-4.404728208345395,4.701667011165413,0,-4.453735924325649,-0.9368439317129744,FALSE
43,-6.541633772933568,4.330545749784896,0,-6.614417044642219,-1.5105795322121927,FALSE
44,-5.332332424943463,4.895359891258028,0,-5.391660814944646,-1.0892625962936382,FALSE
45,-5.224939369965839,4.761551826683761,0,-5.283072887528213,-1.097318596992949,FALSE
46,-7.684328357370829,3.4341080764592467,0,-7.769825433200283,-2.2376489575406118,TRUE
47,-7.091894961581968,3.616611500378623,0,-7.170800527964135,-1.9609225267462425,TRUE
48,-5.834738473815699,1.8750955919069918,0,-5.899656714492173,-3.1117018774929277,TRUE
49,-5.81479646259841,2.004686509314916,0,-5.879492825243917,-2.9006013835976603,TRUE
