,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
17465,BKBROW,2025-08-01 EDT,40.672,-73.898,24,77.5,65.2,69.3,NA,NA,NA,94.4,55.6,75.6,66.1,58,60.9,0.015,NA,NA,NA,0,NA,NA,84,80.1,81.7,NA,NA,NA,NA,NA,NA,NA
17466,BKBROW,2025-08-02 EDT,40.672,-73.898,24,84.4,65.7,73.2,NA,NA,NA,79.7,28.4,60.2,61.2,46,57.8,0,NA,NA,NA,0,NA,NA,85,77.2,80.7,NA,NA,NA,NA,NA,NA,NA
17467,BKBROW,2025-08-03 EDT,40.672,-73.898,24,88.2,66.4,75.9,NA,NA,NA,80.4,23.5,50.7,61.9,45.8,54.5,0,NA,NA,NA,0,NA,NA,85.6,77.7,81.3,NA,NA,NA,NA,NA,NA,NA
17468,BKBROW,2025-08-04 EDT,40.672,-73.898,24,90.6,69.6,78.8,NA,NA,NA,71.6,29.7,50.4,66.8,53.1,57.9,0,NA,NA,NA,0,NA,NA,86.2,78.6,82,NA,NA,NA,NA,NA,NA,NA
17469,BKBROW,2025-08-05 EDT,40.672,-73.898,24,85.1,72,77.3,NA,NA,NA,82.4,50.6,65.2,69.7,58.4,64.4,0,NA,NA,NA,0,NA,NA,84,80.1,82.1,NA,NA,NA,NA,NA,NA,NA
17470,BKBROW,2025-08-06 EDT,40.672,-73.898,24,79.4,68.3,73.7,NA,NA,NA,84.3,48,69.4,68.2,54.9,62.8,0.031,NA,NA,NA,0,NA,NA,82.4,79.6,80.9,NA,NA,NA,NA,NA,NA,NA
17471,BKBROW,2025-08-07 EDT,40.672,-73.898,24,79.7,67.3,72.4,NA,NA,NA,86.5,35.1,63.7,64.1,48.4,58.7,0.017,NA,NA,NA,0,NA,NA,82.4,77.7,79.8,NA,NA,NA,NA,NA,NA,NA
17472,BKBROW,2025-08-08 EDT,40.672,-73.898,24,79.5,64.7,72.2,NA,NA,NA,81.5,31.4,54.8,59.9,45.1,53.8,0,NA,NA,NA,0,NA,NA,85,76.8,80.4,NA,NA,NA,NA,NA,NA,NA
17473,BKBROW,2025-08-09 EDT,40.672,-73.898,24,85.1,64.5,73.7,NA,NA,NA,70.6,34,53.9,60.5,50.9,55.4,0,NA,NA,NA,0,NA,NA,86.2,78.1,81.7,NA,NA,NA,NA,NA,NA,NA
17474,BKBROW,2025-08-10 EDT,40.672,-73.898,24,89.3,69.1,78.5,NA,NA,NA,64.3,26.7,47.7,62.9,49.1,56.3,0,NA,NA,NA,0,NA,NA,87.3,79.5,83.2,NA,NA,NA,NA,NA,NA,NA
