,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
20312,BKBROW,2026-01-01 EST,40.672,-73.898,24,36.8,23.6,28.6,NA,NA,NA,91.1,31.8,47.3,27.4,1,10.3,0.037,NA,NA,NA,0,NA,NA,39.6,37,37.8,NA,NA,NA,NA,NA,NA,NA
20313,BKBROW,2026-01-02 EST,40.672,-73.898,24,31.3,21.8,26.7,NA,NA,NA,68.9,39,56.2,16.9,5.6,13,0,NA,NA,NA,0,NA,NA,37,36,36.4,NA,NA,NA,NA,NA,NA,NA
20314,BKBROW,2026-01-03 EST,40.672,-73.898,24,31.6,24.1,28.5,NA,NA,NA,50.8,38.4,43.2,14.4,4.7,8.8,0,NA,NA,NA,0,NA,NA,36.1,35.2,35.7,NA,NA,NA,NA,NA,NA,NA
20315,BKBROW,2026-01-04 EST,40.672,-73.898,24,37,27.7,31.6,NA,NA,NA,72.9,43,54.1,20.3,13.1,16.7,0,NA,NA,NA,0,NA,NA,39.4,35.4,37,NA,NA,NA,NA,NA,NA,NA
20316,BKBROW,2026-01-05 EST,40.672,-73.898,24,38.4,29.5,33.7,NA,NA,NA,73.4,49.2,60.1,30.5,14.8,21.2,0,NA,NA,NA,0,NA,NA,37.4,36,36.7,NA,NA,NA,NA,NA,NA,NA
20317,BKBROW,2026-01-06 EST,40.672,-73.898,24,43.3,35.9,39.4,NA,NA,NA,95,55.6,73.4,37.6,27.7,31.3,0.015,NA,NA,NA,0,NA,NA,39.7,37.2,38.4,NA,NA,NA,NA,NA,NA,NA
20318,BKBROW,2026-01-07 EST,40.672,-73.898,24,52.8,37.9,44.6,NA,NA,NA,96.5,49.1,73.9,39.9,33.7,36,0.003,NA,NA,NA,0,NA,NA,44.1,39.7,41.8,NA,NA,NA,NA,NA,NA,NA
20319,BKBROW,2026-01-08 EST,40.672,-73.898,24,53.2,42.5,47.1,NA,NA,NA,73.3,43.5,58.4,35.4,30.9,33,0,NA,NA,NA,0,NA,NA,46.8,41.9,44,NA,NA,NA,NA,NA,NA,NA
20320,BKBROW,2026-01-09 EST,40.672,-73.898,24,54.6,40,45.6,NA,NA,NA,92.9,71.7,85.5,50.8,33.8,41.5,0,NA,NA,NA,0,NA,NA,45.5,42.6,44.1,NA,NA,NA,NA,NA,NA,NA
20321,BKBROW,2026-01-10 EST,40.672,-73.898,24,52.7,41,45.2,NA,NA,NA,97,56,78.6,49.2,30.1,38.5,0.7,NA,NA,NA,0,NA,NA,45.7,44.5,45,NA,NA,NA,NA,NA,NA,NA
20322,BKBROW,2026-01-11 EST,40.672,-73.898,24,49,35.2,42.7,NA,NA,NA,97.1,38.6,66,42.9,15.6,31,0.006,NA,NA,NA,0,NA,NA,46.8,43.9,45.1,NA,NA,NA,NA,NA,NA,NA
20323,BKBROW,2026-01-12 EST,40.672,-73.898,24,42.3,32.5,37,NA,NA,NA,53.2,37.6,46.5,21.9,15.2,18.3,0,NA,NA,NA,0,NA,NA,44.4,40.6,42.6,NA,NA,NA,NA,NA,NA,NA
20324,BKBROW,2026-01-13 EST,40.672,-73.898,24,47.8,35.3,41.2,NA,NA,NA,75.9,33.6,52.7,35.6,18.1,24.8,0,NA,NA,NA,0,NA,NA,44.6,40,42.3,NA,NA,NA,NA,NA,NA,NA
