,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
1565,BKBROW,2023-02-01 EST,40.672,-73.898,24,38.8,27.6,33.4,NA,NA,NA,86.5,28.8,51.3,24.5,7.3,16.1,0.017,NA,NA,NA,0,NA,NA,46.6,43.2,44.5,NA,NA,NA,NA,NA,NA,NA
1566,BKBROW,2023-02-02 EST,40.672,-73.898,24,39.8,30.3,35,NA,NA,NA,54.9,29,40.2,20.7,8.2,12.9,0,NA,NA,NA,0,NA,NA,45,41.2,42.9,NA,NA,NA,NA,NA,NA,NA
1567,BKBROW,2023-02-03 EST,40.672,-73.898,24,35.7,12.7,24.9,NA,NA,NA,59.5,22,36.4,22.3,-11.1,1.2,0,NA,NA,NA,0,NA,NA,43.7,39.7,41.7,NA,NA,NA,NA,NA,NA,NA
1568,BKBROW,2023-02-04 EST,40.672,-73.898,24,26.7,5.5,16.8,NA,NA,NA,54.2,23.8,35.4,12,-15,-6.4,0,NA,NA,NA,0,NA,NA,39.6,37,38,NA,NA,NA,NA,NA,NA,NA
1569,BKBROW,2023-02-05 EST,40.672,-73.898,24,45.8,26.7,37.4,NA,NA,NA,80.3,37.6,60.8,36.1,11.5,24.8,0,NA,NA,NA,0,NA,NA,41.4,37,38.9,NA,NA,NA,NA,NA,NA,NA
1570,BKBROW,2023-02-06 EST,40.672,-73.898,24,55.2,35.7,44.2,NA,NA,NA,88,36.3,59.5,35.2,24,30.2,0,NA,NA,NA,0,NA,NA,45.5,39.9,42.5,NA,NA,NA,NA,NA,NA,NA
1571,BKBROW,2023-02-07 EST,40.672,-73.898,24,42,30.6,36.9,NA,NA,NA,80.6,35.2,60.6,35.2,12.6,24.1,0.019,NA,NA,NA,0,NA,NA,43.9,40.6,42.5,NA,NA,NA,NA,NA,NA,NA
1572,BKBROW,2023-02-08 EST,40.672,-73.898,24,54.5,38.8,47.3,NA,NA,NA,81.6,33.8,54.1,35.5,25.6,30,0.002,NA,NA,NA,0,NA,NA,48.2,42.1,44.8,NA,NA,NA,NA,NA,NA,NA
1573,BKBROW,2023-02-09 EST,40.672,-73.898,24,51,39.5,46.5,NA,NA,NA,91.6,50.9,74.3,47.9,27.7,38.5,0,NA,NA,NA,0,NA,NA,46,43.7,45,NA,NA,NA,NA,NA,NA,NA
1574,BKBROW,2023-02-10 EST,40.672,-73.898,24,62.3,46.1,54.5,NA,NA,NA,93,30.1,55.6,53.2,29.4,37.1,0,NA,NA,NA,0,NA,NA,52,45.5,48.3,NA,NA,NA,NA,NA,NA,NA
