,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
18023,BKBROW,2025-09-01 EDT,40.672,-73.898,24,80.2,64.9,71.5,NA,NA,NA,83,37.3,60.1,60,48.8,56.2,0,NA,NA,NA,0,NA,NA,83.5,78.1,80.7,NA,NA,NA,NA,NA,NA,NA
18024,BKBROW,2025-09-02 EDT,40.672,-73.898,24,77.4,63.3,69.4,NA,NA,NA,82.7,41.6,66.9,60.2,52.2,57.6,0,NA,NA,NA,0,NA,NA,84.6,76.9,80.4,NA,NA,NA,NA,NA,NA,NA
18025,BKBROW,2025-09-03 EDT,40.672,-73.898,24,76.5,63.7,69.2,NA,NA,NA,85.2,42.6,68.1,59.9,52,57.8,0,NA,NA,NA,0,NA,NA,84,77.2,80.2,NA,NA,NA,NA,NA,NA,NA
18026,BKBROW,2025-09-04 EDT,40.672,-73.898,24,76.7,65.7,71.3,NA,NA,NA,85.9,61.6,74.4,65.2,59,62.6,0,NA,NA,NA,0,NA,NA,83.5,77.2,80.1,NA,NA,NA,NA,NA,NA,NA
18027,BKBROW,2025-09-05 EDT,40.672,-73.898,24,82.3,67.1,74.3,NA,NA,NA,93.1,49.1,77.5,69.6,60.4,66.4,0.315,NA,NA,NA,0,NA,NA,83.5,76.5,79.8,NA,NA,NA,NA,NA,NA,NA
18028,BKBROW,2025-09-06 EDT,40.672,-73.898,24,82.1,67.2,74.7,NA,NA,NA,93.9,67.9,82,73,65,68.7,0.695,NA,NA,NA,0,NA,NA,82,77.2,79.1,NA,NA,NA,NA,NA,NA,NA
18029,BKBROW,2025-09-07 EDT,40.672,-73.898,24,69.9,60.2,65.1,NA,NA,NA,95.7,62,84.2,65.5,54.2,59.9,0.863,NA,NA,NA,0,NA,NA,78.1,73,74.6,NA,NA,NA,NA,NA,NA,NA
18030,BKBROW,2025-09-08 EDT,40.672,-73.898,24,78.3,58.4,67.2,NA,NA,NA,73.5,22.7,52.4,54.4,36.9,48,0,NA,NA,NA,0,NA,NA,79.5,69.6,73.9,NA,NA,NA,NA,NA,NA,NA
18031,BKBROW,2025-09-09 EDT,40.672,-73.898,24,77.8,60.5,67.3,NA,NA,NA,86.1,38,61.1,56.6,48.2,52.9,0,NA,NA,NA,0,NA,NA,77.7,71.1,74.2,NA,NA,NA,NA,NA,NA,NA
18032,BKBROW,2025-09-10 EDT,40.672,-73.898,24,73.9,61.8,67.6,NA,NA,NA,94.3,53.4,70.9,62.5,51,57.4,0.152,NA,NA,NA,0,NA,NA,73.9,71.4,72.6,NA,NA,NA,NA,NA,NA,NA
18033,BKBROW,2025-09-11 EDT,40.672,-73.898,24,85.1,62.2,73,NA,NA,NA,81.3,26.3,50.4,57.5,43.4,51.5,0,NA,NA,NA,0,NA,NA,81.3,70,74.7,NA,NA,NA,NA,NA,NA,NA
18034,BKBROW,2025-09-12 EDT,40.672,-73.898,24,81.8,65.2,71.6,NA,NA,NA,79.8,31.3,58.6,61.7,47.9,55.4,0,NA,NA,NA,0,NA,NA,80.4,72.3,75.7,NA,NA,NA,NA,NA,NA,NA
18035,BKBROW,2025-09-13 EDT,40.672,-73.898,24,76,65,70.2,NA,NA,NA,89.5,51.8,71.2,62.9,56,60.1,0,NA,NA,NA,0,NA,NA,79.5,72.5,75.5,NA,NA,NA,NA,NA,NA,NA
18036,BKBROW,2025-09-14 EDT,40.672,-73.898,24,84.8,66.4,72.8,NA,NA,NA,84.9,38.2,69.4,65.8,56.4,61.7,0,NA,NA,NA,0,NA,NA,82,72.7,76.6,NA,NA,NA,NA,NA,NA,NA
18037,BKBROW,2025-09-15 EDT,40.672,-73.898,24,84.1,67.1,72.8,NA,NA,NA,91.8,37,69.6,65.8,54.1,61.5,0,NA,NA,NA,0,NA,NA,81,73.9,77.3,NA,NA,NA,NA,NA,NA,NA
18038,BKBROW,2025-09-16 EDT,40.672,-73.898,24,78.8,66.2,70.3,NA,NA,NA,89.9,35.4,59,63.3,43.8,54.2,0,NA,NA,NA,0,NA,NA,78.4,73.4,75.8,NA,NA,NA,NA,NA,NA,NA
18039,BKBROW,2025-09-17 EDT,40.672,-73.898,24,71,64.6,67.8,NA,NA,NA,92.6,57.8,74.6,64.3,51.4,59.3,0.01,NA,NA,NA,0,NA,NA,75,72.3,73.3,NA,NA,NA,NA,NA,NA,NA
18040,BKBROW,2025-09-18 EDT,40.672,-73.898,24,87.2,66.1,73.5,NA,NA,NA,95,37.9,72.6,67.9,56.9,63,0.006,NA,NA,NA,0,NA,NA,82.9,71.9,76.3,NA,NA,NA,NA,NA,NA,NA
18041,BKBROW,2025-09-19 EDT,40.672,-73.898,24,90.6,68.3,78.4,NA,NA,NA,81.4,31.4,47,64.6,45.4,55.5,0,NA,NA,NA,0,NA,NA,85.5,74.3,79.1,NA,NA,NA,NA,NA,NA,NA
18042,BKBROW,2025-09-20 EDT,40.672,-73.898,24,77.9,63.2,69,NA,NA,NA,66.1,36.4,51.7,55.9,43.4,50.1,0,NA,NA,NA,0,NA,NA,83.7,74.7,79,NA,NA,NA,NA,NA,NA,NA
18043,BKBROW,2025-09-21 EDT,40.672,-73.898,24,72,60.1,64.7,NA,NA,NA,75.2,37.8,60.8,53.9,42.6,50.4,0,NA,NA,NA,0,NA,NA,79.2,73.4,76.5,NA,NA,NA,NA,NA,NA,NA
18044,BKBROW,2025-09-22 EDT,40.672,-73.898,24,70.8,57.3,64.8,NA,NA,NA,83.6,52.8,71.9,61.7,49.9,55.4,0,NA,NA,NA,0,NA,NA,76.7,71.4,74,NA,NA,NA,NA,NA,NA,NA
18045,BKBROW,2025-09-23 EDT,40.672,-73.898,24,82.3,66,73.1,NA,NA,NA,90.4,53.9,75.5,69.2,59.7,64.6,0,NA,NA,NA,0,NA,NA,81,73,76.4,NA,NA,NA,NA,NA,NA,NA
18046,BKBROW,2025-09-24 EDT,40.672,-73.898,24,77.8,70.9,73.8,NA,NA,NA,96.2,67,82.7,71.1,65.7,68.1,0.066,NA,NA,NA,0,NA,NA,79.5,76.5,77.9,NA,NA,NA,NA,NA,NA,NA
