,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
22202,BKBROW,2026-04-01 EDT,40.672,-73.898,24,82,55.5,66.7,NA,NA,NA,82.5,40.7,61.6,59.3,44.9,52.4,0.03,NA,NA,NA,0,NA,NA,64.8,57.4,60.8,NA,NA,NA,NA,NA,NA,NA
22203,BKBROW,2026-04-02 EDT,40.672,-73.898,24,56,41.9,46.1,NA,NA,NA,94.5,75.5,82.8,51.8,38.4,41.1,0.122,NA,NA,NA,0,NA,NA,62.2,53.9,57.2,NA,NA,NA,NA,NA,NA,NA
22204,BKBROW,2026-04-03 EDT,40.672,-73.898,24,61.8,41.4,49.9,NA,NA,NA,97.9,68.7,86.6,53.5,39.8,45.9,0.014,NA,NA,NA,0,NA,NA,56.4,52.1,54,NA,NA,NA,NA,NA,NA,NA
22205,BKBROW,2026-04-04 EDT,40.672,-73.898,24,71.8,42.5,57.4,NA,NA,NA,94.7,50.9,74.1,58.2,37.4,48.7,0.042,NA,NA,NA,0,NA,NA,62.2,54.3,57.7,NA,NA,NA,NA,NA,NA,NA
22206,BKMAPL,2026-04-01 EDT,40.623,-73.975,52,80.9,56.6,68.7,NA,NA,NA,77.4,43.8,60.9,58.7,45.1,54.3,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5
22207,BKMAPL,2026-04-02 EDT,40.623,-73.975,52,56.7,42.1,46.5,NA,NA,NA,96.2,76.6,85.2,51.1,39.4,42.2,0.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
22208,BKMAPL,2026-04-03 EDT,40.623,-73.975,52,64.5,42.1,51.4,NA,NA,NA,98,72,87.7,56.8,40.5,47.7,0.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
22209,BKMAPL,2026-04-04 EDT,40.623,-73.975,52,72.2,42.6,57.6,NA,NA,NA,96.1,54.3,77.6,58,37.8,50.2,0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9
22210,BKNYRD,2026-04-01 EDT,40.705,-73.984,33,79.3,55.3,69.1,NA,NA,NA,74.7,43.6,58.2,57.2,44.5,53.6,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4
22211,BKNYRD,2026-04-02 EDT,40.705,-73.984,33,54.9,42,45.6,NA,NA,NA,93.5,76.2,84.2,51.4,37.9,41,0.129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1
22212,BKNYRD,2026-04-03 EDT,40.705,-73.984,33,65.8,41.3,52,NA,NA,NA,97.5,65,84.9,57.6,39.6,47.3,0.015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6
22213,BKNYRD,2026-04-04 EDT,40.705,-73.984,33,69.8,42.5,59,NA,NA,NA,94.3,52.4,71.7,57.8,37.1,49.6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.1
22214,BXVNST,2026-04-01 EDT,40.844,-73.861,82,82,51.1,69,NA,NA,NA,90.6,38.1,57.3,57.3,44.8,52.8,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6
22215,BXVNST,2026-04-02 EDT,40.844,-73.861,82,50.9,39.9,43.3,NA,NA,NA,97.2,80.8,88.9,48.6,37.4,40.3,0.201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6
22216,BXVNST,2026-04-03 EDT,40.844,-73.861,82,65.9,39.7,51,NA,NA,NA,98.5,62.3,84.5,54.6,39,46,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3
22217,BXVNST,2026-04-04 EDT,40.844,-73.861,82,70.3,41.7,59.4,NA,NA,NA,94.7,46.1,69.2,57.2,35.8,48.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5
22218,MHALPH,2026-04-01 EDT,40.728,-73.974,37,82,55.1,69.6,NA,NA,NA,78.4,40.8,56.7,56.9,44.2,53.2,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22219,MHALPH,2026-04-02 EDT,40.728,-73.974,37,54.9,41.9,45.5,NA,NA,NA,93.6,76.3,84.1,50.4,37.5,40.9,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22220,MHALPH,2026-04-03 EDT,40.728,-73.974,37,65.7,41.4,52.3,NA,NA,NA,96.7,65.9,83.3,56.7,39.4,47,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22221,MHALPH,2026-04-04 EDT,40.728,-73.974,37,70.7,42.8,59.3,NA,NA,NA,94.2,50.4,70.4,58.4,36.6,49.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22222,MHCHEL,2026-04-01 EDT,40.755,-74.005,38,79.7,53.7,69.1,NA,NA,NA,75.9,41.8,57.5,56.7,45,53.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4
22223,MHCHEL,2026-04-02 EDT,40.755,-74.005,38,55.3,42.8,46.1,NA,NA,NA,89.3,74.2,81.8,50.7,37.4,40.8,0.183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
