,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
3605,BKBROW,2023-06-01 EDT,40.672,-73.898,24,79.7,60.1,68.8,NA,NA,NA,83.6,44.6,68.6,61.1,53.2,57.5,0,NA,NA,NA,0,NA,NA,86.2,75,79.9,NA,NA,NA,NA,NA,NA,NA
3606,BKBROW,2023-06-02 EDT,40.672,-73.898,24,85.8,64.5,72.9,NA,NA,NA,87.7,38.5,60.3,61.6,49,57.4,0.045,NA,NA,NA,0,NA,NA,88,77.2,81.7,NA,NA,NA,NA,NA,NA,NA
3607,BKBROW,2023-06-03 EDT,40.672,-73.898,24,71.4,56.5,65.9,NA,NA,NA,78.3,59.3,68.8,61.9,45.5,55.3,0,NA,NA,NA,0,NA,NA,82,75.9,78.6,NA,NA,NA,NA,NA,NA,NA
3608,BKBROW,2023-06-04 EDT,40.672,-73.898,24,72.9,51.2,61.1,NA,NA,NA,72.5,32.5,53.7,46.2,39.9,43.4,0,NA,NA,NA,0,NA,NA,78.1,72.3,75.2,NA,NA,NA,NA,NA,NA,NA
3609,BKBROW,2023-06-05 EDT,40.672,-73.898,24,81.3,55.9,68.4,NA,NA,NA,67,29,46.4,55.3,39.7,45.8,0,NA,NA,NA,0,NA,NA,83.5,72.3,77.4,NA,NA,NA,NA,NA,NA,NA
3610,BKBROW,2023-06-06 EDT,40.672,-73.898,24,84.3,62.7,70.9,NA,NA,NA,63.6,24.4,39.2,50.9,39.6,44.4,0.015,NA,NA,NA,0,NA,NA,83.5,75.6,79.1,NA,NA,NA,NA,NA,NA,NA
3611,BKBROW,2023-06-07 EDT,40.672,-73.898,24,73.8,59.6,66.6,NA,NA,NA,54.2,29.9,40.6,46.2,35.5,41.5,0,NA,NA,NA,0,NA,NA,79.5,75.1,77.6,NA,NA,NA,NA,NA,NA,NA
3612,BKBROW,2023-06-08 EDT,40.672,-73.898,24,76.6,57.5,66.2,NA,NA,NA,67.4,30,48.3,49.4,37.6,45.3,0,NA,NA,NA,0,NA,NA,82,73.4,77.1,NA,NA,NA,NA,NA,NA,NA
3613,BKBROW,2023-06-09 EDT,40.672,-73.898,24,76.2,60.3,66.3,NA,NA,NA,88.1,32.7,56.7,59.7,44.1,49.6,0.073,NA,NA,NA,0,NA,NA,82,75,78.1,NA,NA,NA,NA,NA,NA,NA
3614,BKBROW,2023-06-10 EDT,40.672,-73.898,24,82,59.2,69.7,NA,NA,NA,78.9,31.5,53.9,60.1,46.4,51.2,0.053,NA,NA,NA,0,NA,NA,82.4,73.4,77.6,NA,NA,NA,NA,NA,NA,NA
3615,BKBROW,2023-06-11 EDT,40.672,-73.898,24,78.5,65.8,70.6,NA,NA,NA,82.1,44.5,69.3,62.9,54.7,59.8,0,NA,NA,NA,0,NA,NA,80.9,75.2,77.9,NA,NA,NA,NA,NA,NA,NA
3616,BKBROW,2023-06-12 EDT,40.672,-73.898,24,74.6,66.5,69.1,NA,NA,NA,96.6,72.3,85.1,67.4,62,64.4,0.241,NA,NA,NA,0,NA,NA,79.5,75.6,77.2,NA,NA,NA,NA,NA,NA,NA
3617,BKBROW,2023-06-13 EDT,40.672,-73.898,24,83.6,65.3,73,NA,NA,NA,95.5,29.7,55.8,67.6,46.5,54.5,0,NA,NA,NA,0,NA,NA,82.9,74.3,77.5,NA,NA,NA,NA,NA,NA,NA
3618,BKBROW,2023-06-14 EDT,40.672,-73.898,24,74.6,64.7,68.6,NA,NA,NA,90.9,42.9,68.9,66.1,48,57.6,0.156,NA,NA,NA,0,NA,NA,78.1,73.6,75.6,NA,NA,NA,NA,NA,NA,NA
