,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
16907,BKBROW,2025-07-01 EDT,40.672,-73.898,24,92.1,74.1,79.3,NA,NA,NA,94.8,53.7,83.2,75.5,70.6,73.4,0.338,NA,NA,NA,0,NA,NA,87.3,82,84.2,NA,NA,NA,NA,NA,NA,NA
16908,BKBROW,2025-07-02 EDT,40.672,-73.898,24,81.8,73.8,76.4,NA,NA,NA,90.8,68.2,83,72.9,67.9,70.8,0.012,NA,NA,NA,0,NA,NA,82.9,80.1,81.5,NA,NA,NA,NA,NA,NA,NA
16909,BKBROW,2025-07-03 EDT,40.672,-73.898,24,94.6,72.7,81.6,NA,NA,NA,88,29.2,58,72.6,55.4,63.5,0,NA,NA,NA,0,NA,NA,86.7,78.1,81.9,NA,NA,NA,NA,NA,NA,NA
16910,BKBROW,2025-07-04 EDT,40.672,-73.898,24,90.5,69.6,79.6,NA,NA,NA,68.6,25.9,43.4,61.9,48.1,54,0,NA,NA,NA,0,NA,NA,89.1,78.6,83.4,NA,NA,NA,NA,NA,NA,NA
16911,BKBROW,2025-07-05 EDT,40.672,-73.898,24,88,69.8,78.2,NA,NA,NA,70.3,28.7,49.9,66.6,49.6,57.3,0,NA,NA,NA,0,NA,NA,88.5,80.4,84.2,NA,NA,NA,NA,NA,NA,NA
16912,BKBROW,2025-07-06 EDT,40.672,-73.898,24,86.5,73.1,79.5,NA,NA,NA,83.8,42.9,62.1,72.2,60.2,65,0,NA,NA,NA,0,NA,NA,90.3,81.5,85.5,NA,NA,NA,NA,NA,NA,NA
16913,BKBROW,2025-07-07 EDT,40.672,-73.898,24,83.8,75.4,78.6,NA,NA,NA,92.3,75.2,86.5,77.1,71.8,74.2,0.013,NA,NA,NA,0,NA,NA,87.3,83.5,85.5,NA,NA,NA,NA,NA,NA,NA
16914,BKBROW,2025-07-08 EDT,40.672,-73.898,24,100.5,76.4,85.1,NA,NA,NA,92.8,36.3,68.9,75.2,67.6,72.4,0.16,NA,NA,NA,0,NA,NA,91.9,82.9,86.7,NA,NA,NA,NA,NA,NA,NA
16915,BKBROW,2025-07-09 EDT,40.672,-73.898,24,93.5,75,82.5,NA,NA,NA,88.5,44.5,70.1,75,66.9,71.2,0.025,NA,NA,NA,0,NA,NA,90.9,83.5,87.1,NA,NA,NA,NA,NA,NA,NA
16916,BKBROW,2025-07-10 EDT,40.672,-73.898,24,83.5,74.7,77.1,NA,NA,NA,90.5,61.2,77.6,72.9,66.3,69.4,0.054,NA,NA,NA,0,NA,NA,88,82.9,84.7,NA,NA,NA,NA,NA,NA,NA
