,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
14207,BKBROW,2025-02-01 EST,40.672,-73.898,24,49.2,23.8,37.3,NA,NA,NA,94.9,23.2,54.7,47.7,-2.7,20.5,0,NA,NA,NA,0,NA,NA,45.3,39.8,42.9,NA,NA,NA,NA,NA,NA,NA
14208,BKBROW,2025-02-02 EST,40.672,-73.898,24,37,18.7,27.5,NA,NA,NA,92.8,41.1,62.9,33.7,1.6,16.2,0.076,NA,NA,NA,0,NA,NA,39.7,36.9,38.3,NA,NA,NA,NA,NA,NA,NA
14209,BKBROW,2025-02-03 EST,40.672,-73.898,24,47.3,33.8,40.3,NA,NA,NA,92.1,54.5,77.5,38.6,29.2,33.6,0,NA,NA,NA,0,NA,NA,43,37.9,40.4,NA,NA,NA,NA,NA,NA,NA
14210,BKBROW,2025-02-04 EST,40.672,-73.898,24,49.8,32.2,43.1,NA,NA,NA,80.7,26.1,50.7,39.7,12,24.9,0,NA,NA,NA,0,NA,NA,47.5,41.7,43.5,NA,NA,NA,NA,NA,NA,NA
14211,BKBROW,2025-02-05 EST,40.672,-73.898,24,38.7,28.9,32.9,NA,NA,NA,51.3,23.7,38.1,16.7,4,9.5,0,NA,NA,NA,0,NA,NA,45.7,39.4,41.8,NA,NA,NA,NA,NA,NA,NA
14212,BKBROW,2025-02-06 EST,40.672,-73.898,24,41.2,31.6,36.3,NA,NA,NA,96.6,45.9,86.3,39,14,32.2,0.29,NA,NA,NA,0,NA,NA,41.2,39,40.1,NA,NA,NA,NA,NA,NA,NA
14213,BKBROW,2025-02-07 EST,40.672,-73.898,24,47.5,31.1,38.9,NA,NA,NA,97.6,27.5,50.1,38.1,5.5,19.3,0.002,NA,NA,NA,0,NA,NA,46.8,40.1,42.4,NA,NA,NA,NA,NA,NA,NA
14214,BKBROW,2025-02-08 EST,40.672,-73.898,24,35.2,27.9,31.5,NA,NA,NA,96.9,32.5,51,32.2,5.3,14.1,0.743,NA,NA,NA,0,NA,NA,41.4,38.3,39.8,NA,NA,NA,NA,NA,NA,NA
14215,BKBROW,2025-02-09 EST,40.672,-73.898,24,36.6,31,34.5,NA,NA,NA,96.5,58.8,76.6,32.8,23.3,27.5,0.046,NA,NA,NA,0,NA,NA,39.2,37.6,38.3,NA,NA,NA,NA,NA,NA,NA
14216,BKBROW,2025-02-10 EST,40.672,-73.898,24,39.3,30.4,35.1,NA,NA,NA,64.5,37.8,46.9,24.7,11.9,16.7,0,NA,NA,NA,0,NA,NA,39.2,37.2,38,NA,NA,NA,NA,NA,NA,NA
14217,BKBROW,2025-02-11 EST,40.672,-73.898,24,36.3,28.3,32.3,NA,NA,NA,94.5,39.2,57.2,30.9,11.2,18,0.147,NA,NA,NA,0,NA,NA,37.9,36,37,NA,NA,NA,NA,NA,NA,NA
14218,BKBROW,2025-02-12 EST,40.672,-73.898,24,36.4,31.9,34.3,NA,NA,NA,94.6,63.2,82.8,34.6,24,29.4,0.128,NA,NA,NA,0,NA,NA,38.1,37,37.4,NA,NA,NA,NA,NA,NA,NA
14219,BKBROW,2025-02-13 EST,40.672,-73.898,24,46.4,36.1,40.5,NA,NA,NA,97.5,43.8,82.7,41.8,17.2,34.9,0.23,NA,NA,NA,0,NA,NA,41.4,37.6,39.5,NA,NA,NA,NA,NA,NA,NA
14220,BKBROW,2025-02-14 EST,40.672,-73.898,24,40.1,31,34.5,NA,NA,NA,52,25,36.1,17.1,4.4,9.8,0,NA,NA,NA,0,NA,NA,44.4,37.2,40.1,NA,NA,NA,NA,NA,NA,NA
14221,BKBROW,2025-02-15 EST,40.672,-73.898,24,36.5,29,32.8,NA,NA,NA,96.9,34.5,64,35,6.2,20.3,0.522,NA,NA,NA,0,NA,NA,39.9,37.5,38.5,NA,NA,NA,NA,NA,NA,NA
14222,BKBROW,2025-02-16 EST,40.672,-73.898,24,48.5,34.7,39.2,NA,NA,NA,98.1,52.9,90.1,47.4,21.4,36.2,0.785,NA,NA,NA,0,NA,NA,40.8,37.6,39.1,NA,NA,NA,NA,NA,NA,NA
14223,BKBROW,2025-02-17 EST,40.672,-73.898,24,38.1,28.3,33.5,NA,NA,NA,52.8,26.3,37.1,21.2,4.7,9.6,0,NA,NA,NA,0,NA,NA,44.1,37.2,39.9,NA,NA,NA,NA,NA,NA,NA
14224,BKBROW,2025-02-18 EST,40.672,-73.898,24,30.8,20.5,25.3,NA,NA,NA,45.7,19.4,30.3,8,-7.3,-2.2,0,NA,NA,NA,0,NA,NA,41.4,36.3,38.2,NA,NA,NA,NA,NA,NA,NA
14225,BKBROW,2025-02-19 EST,40.672,-73.898,24,34.5,18.7,25.8,NA,NA,NA,49,30.5,40,9.7,-3.5,4.5,0,NA,NA,NA,0,NA,NA,40.3,35.6,37.4,NA,NA,NA,NA,NA,NA,NA
14226,BKBROW,2025-02-20 EST,40.672,-73.898,24,33.1,20.9,25.7,NA,NA,NA,82.5,34.3,54.2,20.6,6.8,10.9,0.017,NA,NA,NA,0,NA,NA,39.4,35.8,37.4,NA,NA,NA,NA,NA,NA,NA
14227,BKBROW,2025-02-21 EST,40.672,-73.898,24,38.3,23.1,28.8,NA,NA,NA,56.8,31.1,44.8,11.3,7.6,9.6,0,NA,NA,NA,0,NA,NA,43.2,36.1,38.8,NA,NA,NA,NA,NA,NA,NA
14228,BKBROW,2025-02-22 EST,40.672,-73.898,24,40.7,22.8,32,NA,NA,NA,67.2,28.8,46.3,25.8,7.7,13.1,0,NA,NA,NA,0,NA,NA,43.5,36.3,39.4,NA,NA,NA,NA,NA,NA,NA
14229,BKBROW,2025-02-23 EST,40.672,-73.898,24,48.6,32.9,40.9,NA,NA,NA,54.5,28.4,41.1,22,14.4,18.5,0,NA,NA,NA,0,NA,NA,46.6,37.9,41.8,NA,NA,NA,NA,NA,NA,NA
