,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
15269,BKBROW,2025-04-01 EDT,40.672,-73.898,24,60,44,51.9,NA,NA,NA,97.4,26.3,49.3,59.2,13.8,31.1,0.184,NA,NA,NA,0,NA,NA,65.1,55.4,59.4,NA,NA,NA,NA,NA,NA,NA
15270,BKBROW,2025-04-02 EDT,40.672,-73.898,24,47,38.6,43.1,NA,NA,NA,83.7,26.7,49.9,40.3,12.7,24.2,0.007,NA,NA,NA,0,NA,NA,58.5,52.3,55.5,NA,NA,NA,NA,NA,NA,NA
15271,BKBROW,2025-04-03 EDT,40.672,-73.898,24,72.2,44.5,55.8,NA,NA,NA,96.9,70.3,86.7,66.6,40.1,51.8,0.093,NA,NA,NA,0,NA,NA,57.4,52.3,54.4,NA,NA,NA,NA,NA,NA,NA
15272,BKBROW,2025-04-04 EDT,40.672,-73.898,24,73.3,60.7,67.3,NA,NA,NA,82.4,23.3,50.3,63.8,30.5,45.5,0.096,NA,NA,NA,0,NA,NA,63.9,57.4,60,NA,NA,NA,NA,NA,NA,NA
15273,BKBROW,2025-04-05 EDT,40.672,-73.898,24,61.2,44.5,50.5,NA,NA,NA,95,32,67.8,44.7,30.9,38.7,0.087,NA,NA,NA,0,NA,NA,60.4,53.8,56.6,NA,NA,NA,NA,NA,NA,NA
15274,BKBROW,2025-04-06 EDT,40.672,-73.898,24,57.7,44.1,50.7,NA,NA,NA,95.2,32.3,74.4,47.1,25.3,41.6,0.208,NA,NA,NA,0,NA,NA,55.6,52.8,53.9,NA,NA,NA,NA,NA,NA,NA
15275,BKBROW,2025-04-07 EDT,40.672,-73.898,24,52.7,40.9,44.3,NA,NA,NA,92.3,37.1,81.6,42.3,27.2,38.3,0.172,NA,NA,NA,0,NA,NA,54.9,51.3,52.7,NA,NA,NA,NA,NA,NA,NA
15276,BKBROW,2025-04-08 EDT,40.672,-73.898,24,49.1,37,43.8,NA,NA,NA,94.4,23.2,49.9,41.8,9.3,23.3,0,NA,NA,NA,0,NA,NA,59.4,50.2,53.8,NA,NA,NA,NA,NA,NA,NA
15277,BKBROW,2025-04-09 EDT,40.672,-73.898,24,50.6,33.3,41,NA,NA,NA,71.8,17.2,36.7,35,5.8,15,0,NA,NA,NA,0,NA,NA,60.4,48.4,53.7,NA,NA,NA,NA,NA,NA,NA
15278,BKBROW,2025-04-10 EDT,40.672,-73.898,24,48.3,41.3,44.1,NA,NA,NA,72.2,51.5,61.4,36.8,29,31.6,0,NA,NA,NA,0,NA,NA,54.9,50.5,52.4,NA,NA,NA,NA,NA,NA,NA
15279,BKBROW,2025-04-11 EDT,40.672,-73.898,24,48.1,42.1,44.5,NA,NA,NA,92.3,64.9,80.6,44,32.1,38.8,0.394,NA,NA,NA,0,NA,NA,51.8,49.8,50.7,NA,NA,NA,NA,NA,NA,NA
15280,BKBROW,2025-04-12 EDT,40.672,-73.898,24,42.3,37.6,39.7,NA,NA,NA,95.2,88.5,92.6,39.9,36.1,37.8,0.572,NA,NA,NA,0,NA,NA,50.4,47.8,48.5,NA,NA,NA,NA,NA,NA,NA
15281,BKBROW,2025-04-13 EDT,40.672,-73.898,24,60.5,39.8,50,NA,NA,NA,92.4,42.2,65,40.5,35,37.7,0.018,NA,NA,NA,0,NA,NA,55.9,47.1,50.9,NA,NA,NA,NA,NA,NA,NA
15282,BKBROW,2025-04-14 EDT,40.672,-73.898,24,64.1,48,54.4,NA,NA,NA,81.7,29.6,51.6,45.5,30.9,36,0,NA,NA,NA,0,NA,NA,56.7,50.2,53.2,NA,NA,NA,NA,NA,NA,NA
15283,BKBROW,2025-04-15 EDT,40.672,-73.898,24,71.5,48.9,57.3,NA,NA,NA,90.9,25.6,62.2,54.3,27.5,42.5,0.05,NA,NA,NA,0,NA,NA,57.7,52.7,54.7,NA,NA,NA,NA,NA,NA,NA
15284,BKBROW,2025-04-16 EDT,40.672,-73.898,24,53.8,46.4,49.4,NA,NA,NA,50.1,34.1,42.2,29.3,25,27.2,0,NA,NA,NA,0,NA,NA,55.6,52,53.8,NA,NA,NA,NA,NA,NA,NA
15285,BKBROW,2025-04-17 EDT,40.672,-73.898,24,65.6,43.6,54.6,NA,NA,NA,56.7,15.9,33.2,29.4,16.6,23.6,0,NA,NA,NA,0,NA,NA,64.2,50.4,56.4,NA,NA,NA,NA,NA,NA,NA
15286,BKBROW,2025-04-18 EDT,40.672,-73.898,24,62.5,46.9,54.7,NA,NA,NA,82.3,25.8,49.4,47.5,22.7,34.8,0,NA,NA,NA,0,NA,NA,62.6,53.8,58.1,NA,NA,NA,NA,NA,NA,NA
15287,BKBROW,2025-04-19 EDT,40.672,-73.898,24,84.1,51.7,68.7,NA,NA,NA,85.3,35.5,59,57.5,47.1,52.3,0,NA,NA,NA,0,NA,NA,64.8,56.3,60.1,NA,NA,NA,NA,NA,NA,NA
15288,BKBROW,2025-04-20 EDT,40.672,-73.898,24,74.3,58.6,66.6,NA,NA,NA,63.3,15.5,33.9,58.4,18.8,34.4,0,NA,NA,NA,0,NA,NA,70,61.2,64.6,NA,NA,NA,NA,NA,NA,NA
15289,BKBROW,2025-04-21 EDT,40.672,-73.898,24,58.4,50.7,52.8,NA,NA,NA,85.7,28.8,51,48,24.1,33.8,0.008,NA,NA,NA,0,NA,NA,64.4,59.7,61.2,NA,NA,NA,NA,NA,NA,NA
15290,BKBROW,2025-04-22 EDT,40.672,-73.898,24,77.9,52.1,64.9,NA,NA,NA,93.1,23.5,62.1,55.9,37.5,49.2,0,NA,NA,NA,0,NA,NA,69.6,57.9,63.1,NA,NA,NA,NA,NA,NA,NA
15291,BKBROW,2025-04-23 EDT,40.672,-73.898,24,73.3,56.1,63.3,NA,NA,NA,67.9,21.5,40.2,47,30.6,37.5,0,NA,NA,NA,0,NA,NA,72.7,61.7,66.8,NA,NA,NA,NA,NA,NA,NA
15292,BKBROW,2025-04-24 EDT,40.672,-73.898,24,72.5,55.5,63.7,NA,NA,NA,67.9,26.4,47.9,49,35.8,42.7,0,NA,NA,NA,0,NA,NA,73.4,62.8,67.7,NA,NA,NA,NA,NA,NA,NA
15293,BKBROW,2025-04-25 EDT,40.672,-73.898,24,71.9,59.2,64.3,NA,NA,NA,87.5,34.1,59.7,56.9,37.4,49.3,0,NA,NA,NA,0,NA,NA,72.7,64.8,68.4,NA,NA,NA,NA,NA,NA,NA
15294,BKBROW,2025-04-26 EDT,40.672,-73.898,24,72,56.2,62.7,NA,NA,NA,96.2,48.2,85.1,65.4,38.1,57.8,0.423,NA,NA,NA,0,NA,NA,68.9,65.1,66.4,NA,NA,NA,NA,NA,NA,NA
15295,BKBROW,2025-04-27 EDT,40.672,-73.898,24,63.3,49.4,56.7,NA,NA,NA,53.5,32.5,43.1,38,28.9,34.3,0,NA,NA,NA,0,NA,NA,67.8,60.3,64,NA,NA,NA,NA,NA,NA,NA
15296,BKBROW,2025-04-28 EDT,40.672,-73.898,24,79.1,54.5,64.9,NA,NA,NA,44,14,28.7,38.8,23.6,30.1,0,NA,NA,NA,0,NA,NA,73.4,59.4,65.5,NA,NA,NA,NA,NA,NA,NA
15297,BKBROW,2025-04-29 EDT,40.672,-73.898,24,72.1,56.2,63.4,NA,NA,NA,66.1,27.7,49,53.3,32.5,43.3,0,NA,NA,NA,0,NA,NA,72.3,62.6,67.1,NA,NA,NA,NA,NA,NA,NA
15298,BKBROW,2025-04-30 EDT,40.672,-73.898,24,79.4,63.6,71.5,NA,NA,NA,71.7,12.8,36.1,59.4,22.6,38.8,0,NA,NA,NA,0,NA,NA,78.1,65.8,70.8,NA,NA,NA,NA,NA,NA,NA
15299,BKMAPL,2025-04-01 EDT,40.623,-73.975,52,59,42.7,50.1,NA,NA,NA,98.8,26,52,58.4,13.2,31.1,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.2
15300,BKMAPL,2025-04-02 EDT,40.623,-73.975,52,47.6,38.5,43.2,NA,NA,NA,84.4,26.3,50.4,40.8,12.2,24.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.2
15301,BKMAPL,2025-04-03 EDT,40.623,-73.975,52,71.3,44.9,56.9,NA,NA,NA,97.4,75.7,87.8,63.8,40.8,53.2,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2
15302,BKMAPL,2025-04-04 EDT,40.623,-73.975,52,70.2,59.8,66.1,NA,NA,NA,88.5,24.8,53.5,64.1,30.6,46.1,0.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
15303,BKMAPL,2025-04-05 EDT,40.623,-73.975,52,62.2,44.4,50.7,NA,NA,NA,95.9,30.4,69.7,45.2,30.7,39.6,0.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8
15304,BKMAPL,2025-04-06 EDT,40.623,-73.975,52,57.2,44.6,50.4,NA,NA,NA,96.3,32.4,76.1,47.4,24.9,42.1,0.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3
15305,BKMAPL,2025-04-07 EDT,40.623,-73.975,52,52.3,40.8,44.2,NA,NA,NA,94.4,35.6,82.5,42.1,25.8,38.6,0.164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4
15306,BKMAPL,2025-04-08 EDT,40.623,-73.975,52,47.2,36.9,42.4,NA,NA,NA,95.9,26.8,52.9,41.7,9.3,23.8,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8
15307,BKMAPL,2025-04-09 EDT,40.623,-73.975,52,49.3,33,39.7,NA,NA,NA,71.4,20.5,39.7,34.3,8.3,16.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.9
15308,BKMAPL,2025-04-10 EDT,40.623,-73.975,52,50,40.7,44.2,NA,NA,NA,70.3,49.6,63,38.3,27.5,32.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7
15309,BKMAPL,2025-04-11 EDT,40.623,-73.975,52,47.9,42.4,44.8,NA,NA,NA,93.2,65.9,82.5,44,32.9,39.8,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5
15310,BKMAPL,2025-04-12 EDT,40.623,-73.975,52,42.4,37.6,39.5,NA,NA,NA,95.4,89.4,92.9,40.5,36,37.6,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
15311,BKMAPL,2025-04-13 EDT,40.623,-73.975,52,60,39.3,49.3,NA,NA,NA,93.4,44.1,65.9,40.8,35.5,37.6,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8
15312,BKMAPL,2025-04-14 EDT,40.623,-73.975,52,64.3,46.5,53.7,NA,NA,NA,78.7,33.6,54.6,45.6,32.1,37.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2
15313,BKMAPL,2025-04-15 EDT,40.623,-73.975,52,70.1,49.4,57.5,NA,NA,NA,92.3,25.5,62.3,54.7,27.2,42.5,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6
15314,BKMAPL,2025-04-16 EDT,40.623,-73.975,52,52.5,45.9,48.6,NA,NA,NA,52.3,37.6,44.9,32.4,25.7,28.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.2
15315,BKMAPL,2025-04-17 EDT,40.623,-73.975,52,64.8,43.3,53.1,NA,NA,NA,59.6,16.4,37.1,30.2,17.5,25.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.2
15316,BKMAPL,2025-04-18 EDT,40.623,-73.975,52,63,45.5,54.6,NA,NA,NA,80.7,33.8,53.4,47.8,26.9,37.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.8
15317,BKMAPL,2025-04-19 EDT,40.623,-73.975,52,80.8,52.5,68.7,NA,NA,NA,82,41.2,60.3,58,47,53.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.8
15318,BKMAPL,2025-04-20 EDT,40.623,-73.975,52,74.3,57.8,65,NA,NA,NA,68.6,17.9,37.2,59.2,20.8,35.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4
15319,BKMAPL,2025-04-21 EDT,40.623,-73.975,52,59.7,50.7,53.3,NA,NA,NA,86.4,26.5,53,48.2,24.2,35,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
15320,BKMAPL,2025-04-22 EDT,40.623,-73.975,52,78.5,52,64.8,NA,NA,NA,92.6,23.8,63.3,58.3,38.2,49.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5
15321,BKMAPL,2025-04-23 EDT,40.623,-73.975,52,72.5,56.9,63.8,NA,NA,NA,45.6,26.3,38.1,41.9,33.6,37.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9
