,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
16367,BKBROW,2025-06-01 EDT,40.672,-73.898,24,70.4,51.8,61.2,NA,NA,NA,70.6,28.2,47.8,44.4,35.5,40.2,0,NA,NA,NA,0,NA,NA,70.3,64.1,67.3,NA,NA,NA,NA,NA,NA,NA
16368,BKBROW,2025-06-02 EDT,40.672,-73.898,24,76.1,55.6,64.2,NA,NA,NA,75.7,29.7,51.7,54.6,38.2,45,0,NA,NA,NA,0,NA,NA,74.7,64.4,68.9,NA,NA,NA,NA,NA,NA,NA
16369,BKBROW,2025-06-03 EDT,40.672,-73.898,24,76.8,58.1,68.5,NA,NA,NA,77.5,23.6,45.2,53.8,34.9,44.3,0,NA,NA,NA,0,NA,NA,75.6,66.4,70.7,NA,NA,NA,NA,NA,NA,NA
16370,BKBROW,2025-06-04 EDT,40.672,-73.898,24,77.2,61.7,70.6,NA,NA,NA,74.2,46.8,60.1,62.2,47.3,55.9,0,NA,NA,NA,0,NA,NA,77.2,68.5,72.4,NA,NA,NA,NA,NA,NA,NA
16371,BKBROW,2025-06-05 EDT,40.672,-73.898,24,85.5,70.2,77.4,NA,NA,NA,73.5,49.9,62.9,66.7,60.4,63.5,0,NA,NA,NA,0,NA,NA,79.2,71.4,74.9,NA,NA,NA,NA,NA,NA,NA
16372,BKBROW,2025-06-06 EDT,40.672,-73.898,24,83.2,72.6,77.5,NA,NA,NA,80.7,52.9,65.7,67.4,62.8,65,0,NA,NA,NA,0,NA,NA,81.5,73.9,77.4,NA,NA,NA,NA,NA,NA,NA
16373,BKBROW,2025-06-07 EDT,40.672,-73.898,24,75.5,65.4,70.9,NA,NA,NA,96.6,78.1,87.3,71.7,63.3,66.9,0.288,NA,NA,NA,0,NA,NA,78.6,74.7,76.1,NA,NA,NA,NA,NA,NA,NA
16374,BKBROW,2025-06-08 EDT,40.672,-73.898,24,75.7,64.9,68.8,NA,NA,NA,87.7,56.2,75.2,63.1,58.3,60.4,0,NA,NA,NA,0,NA,NA,77.7,71.4,74.4,NA,NA,NA,NA,NA,NA,NA
16375,BKBROW,2025-06-09 EDT,40.672,-73.898,24,66,61.8,63.8,NA,NA,NA,94.4,79.1,88.4,62.5,57.8,60.3,0.043,NA,NA,NA,0,NA,NA,74.3,70.7,71.6,NA,NA,NA,NA,NA,NA,NA
16376,BKBROW,2025-06-10 EDT,40.672,-73.898,24,75.3,63.2,67.4,NA,NA,NA,96.9,71.5,88.5,67,61.7,63.7,0.169,NA,NA,NA,0,NA,NA,72.3,69.6,70.6,NA,NA,NA,NA,NA,NA,NA
