,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
13649,BKBROW,2025-01-01 EST,40.672,-73.898,24,52.3,40,46.5,NA,NA,NA,94,44.2,72.6,47.1,22.1,37.7,0,NA,NA,NA,0,NA,NA,50.7,46.9,49,NA,NA,NA,NA,NA,NA,NA
13650,BKBROW,2025-01-02 EST,40.672,-73.898,24,45.9,34.2,39.3,NA,NA,NA,64.6,34.5,48.3,28.3,17,21.1,0,NA,NA,NA,0,NA,NA,48,43.9,45.8,NA,NA,NA,NA,NA,NA,NA
13651,BKBROW,2025-01-03 EST,40.672,-73.898,24,40.9,31.8,35.7,NA,NA,NA,64.7,36.9,49.7,23.1,15.5,18.4,0,NA,NA,NA,0,NA,NA,47.1,42.3,44.1,NA,NA,NA,NA,NA,NA,NA
13652,BKBROW,2025-01-04 EST,40.672,-73.898,24,36.9,28.8,32,NA,NA,NA,54.6,29.4,38.3,17.3,4.9,9,0,NA,NA,NA,0,NA,NA,43.9,40.5,42.1,NA,NA,NA,NA,NA,NA,NA
13653,BKBROW,2025-01-05 EST,40.672,-73.898,24,34.6,28,30.6,NA,NA,NA,53.9,36.6,45.1,15.2,8.5,11.7,0,NA,NA,NA,0,NA,NA,41.9,39.2,40.3,NA,NA,NA,NA,NA,NA,NA
13654,BKBROW,2025-01-06 EST,40.672,-73.898,24,31.6,24.4,29.6,NA,NA,NA,90.2,53.4,67.1,27.9,10.7,19.8,0.051,NA,NA,NA,0,NA,NA,39.5,38.8,39.1,NA,NA,NA,NA,NA,NA,NA
13655,BKBROW,2025-01-07 EST,40.672,-73.898,24,34.1,20.2,27.3,NA,NA,NA,56.1,38.8,47.7,12.4,6.1,9.8,0,NA,NA,NA,0,NA,NA,40.3,37.2,38.4,NA,NA,NA,NA,NA,NA,NA
13656,BKBROW,2025-01-08 EST,40.672,-73.898,24,32.4,23.5,27.1,NA,NA,NA,46.4,29.8,39.8,10,3,5.6,0,NA,NA,NA,0,NA,NA,39.7,37,38,NA,NA,NA,NA,NA,NA,NA
13657,BKBROW,2025-01-09 EST,40.672,-73.898,24,34.7,23.3,28.7,NA,NA,NA,55.6,36.6,46.2,15.3,5.3,10.5,0,NA,NA,NA,0,NA,NA,39.4,36.5,37.7,NA,NA,NA,NA,NA,NA,NA
13658,BKBROW,2025-01-10 EST,40.672,-73.898,24,41.9,28.4,34.8,NA,NA,NA,57.2,33.6,45.5,18.3,13.6,15.4,0,NA,NA,NA,0,NA,NA,41.4,36.8,38.8,NA,NA,NA,NA,NA,NA,NA
