,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
5169,BKBROW,2023-09-01 EDT,40.672,-73.898,24,80.5,61.7,69.5,NA,NA,NA,65.4,27.6,50.9,55.4,43.5,49.8,0,NA,NA,NA,0,NA,NA,88,74.7,80.1,NA,NA,NA,NA,NA,NA,NA
5170,BKBROW,2023-09-02 EDT,40.672,-73.898,24,79.6,63.2,70.3,NA,NA,NA,76.2,42.4,62.3,61.3,49.5,56.4,0,NA,NA,NA,0,NA,NA,86.2,75.1,80,NA,NA,NA,NA,NA,NA,NA
5171,BKBROW,2023-09-03 EDT,40.672,-73.898,24,93.6,68.4,80.5,NA,NA,NA,79.6,31.3,57.5,67.6,57.6,63,0,NA,NA,NA,0,NA,NA,90.3,76.8,82.6,NA,NA,NA,NA,NA,NA,NA
5172,BKBROW,2023-09-04 EDT,40.672,-73.898,24,91.4,76.2,82.7,NA,NA,NA,75.3,45.5,61.7,70.4,65.4,68,0.004,NA,NA,NA,0,NA,NA,86.3,81.2,83.9,NA,NA,NA,NA,NA,NA,NA
5173,BKBROW,2023-09-05 EDT,40.672,-73.898,24,98,78.7,86.7,NA,NA,NA,75.7,37.8,58.7,72.3,66,69.9,0,NA,NA,NA,0,NA,NA,92.8,81.3,86.3,NA,NA,NA,NA,NA,NA,NA
5174,BKBROW,2023-09-06 EDT,40.672,-73.898,24,98.6,80.8,88.3,NA,NA,NA,75.1,35.9,56.6,72.9,64.5,70,0,NA,NA,NA,0,NA,NA,96.1,84.6,89.3,NA,NA,NA,NA,NA,NA,NA
5175,BKBROW,2023-09-07 EDT,40.672,-73.898,24,95,80.9,86.2,NA,NA,NA,72.2,39.5,57.1,72.9,61.9,68.8,0,NA,NA,NA,0,NA,NA,96.3,86,90.1,NA,NA,NA,NA,NA,NA,NA
5176,BKBROW,2023-09-08 EDT,40.672,-73.898,24,88,75.4,79.3,NA,NA,NA,96.4,52.9,74.9,77.3,62.1,70.4,0.015,NA,NA,NA,0,NA,NA,91.9,85.1,87.6,NA,NA,NA,NA,NA,NA,NA
5177,BKBROW,2023-09-09 EDT,40.672,-73.898,24,85.8,77,79.4,NA,NA,NA,92.9,61.4,83.9,75.4,69.7,73.9,0.006,NA,NA,NA,0,NA,NA,90,83.5,86,NA,NA,NA,NA,NA,NA,NA
5178,BKBROW,2023-09-10 EDT,40.672,-73.898,24,78.6,70.1,75.1,NA,NA,NA,95.8,71.2,84.5,72.8,67.8,70,1.832,NA,NA,NA,0,NA,NA,85.1,78.1,81.7,NA,NA,NA,NA,NA,NA,NA
5179,BKBROW,2023-09-11 EDT,40.672,-73.898,24,83.9,72.1,75.3,NA,NA,NA,96.1,63,87.1,73,68,71,0.599,NA,NA,NA,0,NA,NA,82.4,78.1,80,NA,NA,NA,NA,NA,NA,NA
5180,BKBROW,2023-09-12 EDT,40.672,-73.898,24,83.2,70.1,75.5,NA,NA,NA,93.6,51,78,70.9,61.3,67.7,0,NA,NA,NA,0,NA,NA,84.6,77.2,80.4,NA,NA,NA,NA,NA,NA,NA
5181,BKBROW,2023-09-13 EDT,40.672,-73.898,24,82.3,73,76.5,NA,NA,NA,93,55.9,76.2,72.4,62.8,68.1,0.103,NA,NA,NA,0,NA,NA,81.5,77.7,79.4,NA,NA,NA,NA,NA,NA,NA
5182,BKBROW,2023-09-14 EDT,40.672,-73.898,24,84.7,66.8,74.3,NA,NA,NA,81.2,26,50.8,66.8,44.6,53.5,0,NA,NA,NA,0,NA,NA,86.7,75.6,80.2,NA,NA,NA,NA,NA,NA,NA
5183,BKBROW,2023-09-15 EDT,40.672,-73.898,24,74.3,59.4,65.8,NA,NA,NA,66.6,44.6,54.6,51.3,45.8,48.7,0,NA,NA,NA,0,NA,NA,81.5,73.9,77.4,NA,NA,NA,NA,NA,NA,NA
5184,BKBROW,2023-09-16 EDT,40.672,-73.898,24,79.9,62.4,70.2,NA,NA,NA,56.2,29.1,45.7,51.7,43.7,47.6,0,NA,NA,NA,0,NA,NA,81.5,73,76.6,NA,NA,NA,NA,NA,NA,NA
5185,BKBROW,2023-09-17 EDT,40.672,-73.898,24,80,61.1,69.7,NA,NA,NA,90.8,32.2,58.4,67.5,46,53.6,0.031,NA,NA,NA,0,NA,NA,82.4,73,77.2,NA,NA,NA,NA,NA,NA,NA
5186,BKBROW,2023-09-18 EDT,40.672,-73.898,24,71,63.4,66.9,NA,NA,NA,96.7,79.7,90.9,68,59.5,64.2,1.246,NA,NA,NA,0,NA,NA,78.1,72.7,74.8,NA,NA,NA,NA,NA,NA,NA
5187,BKBROW,2023-09-19 EDT,40.672,-73.898,24,78.8,60.2,68.4,NA,NA,NA,86.8,37.7,59.1,59.6,47.7,52.3,0,NA,NA,NA,0,NA,NA,80.1,69.6,74.1,NA,NA,NA,NA,NA,NA,NA
5188,BKBROW,2023-09-20 EDT,40.672,-73.898,24,79.2,60.8,69,NA,NA,NA,64.8,33.3,50.5,53.1,45.7,49.2,0,NA,NA,NA,0,NA,NA,81,70.7,75.3,NA,NA,NA,NA,NA,NA,NA
5189,BKBROW,2023-09-21 EDT,40.672,-73.898,24,76.8,60.2,67.9,NA,NA,NA,65.6,36,52.8,53.3,45.1,49.6,0,NA,NA,NA,0,NA,NA,82,71.4,76,NA,NA,NA,NA,NA,NA,NA
5190,BKBROW,2023-09-22 EDT,40.672,-73.898,24,74.5,61.5,66.5,NA,NA,NA,85.9,38.1,63.4,58.3,45.9,53,0,NA,NA,NA,0,NA,NA,78.6,72.3,75.2,NA,NA,NA,NA,NA,NA,NA
5191,BKBROW,2023-09-23 EDT,40.672,-73.898,24,63,59,61,NA,NA,NA,95.2,59.4,86.1,60,48.6,56.5,0.853,NA,NA,NA,0,NA,NA,74.3,68.5,70.7,NA,NA,NA,NA,NA,NA,NA
5192,BKBROW,2023-09-24 EDT,40.672,-73.898,24,65.7,62.7,64,NA,NA,NA,96.6,87.6,93.6,63.4,60,62.1,0.952,NA,NA,NA,0,NA,NA,69.3,68.2,68.7,NA,NA,NA,NA,NA,NA,NA
