,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
511,BKBROW,2022-12-01 EST,40.672,-73.898,24,44.8,36.5,40.1,NA,NA,NA,51.5,34.3,44.1,23.7,17.8,19.8,0,NA,NA,NA,0,NA,NA,51.9,49.1,50.2,NA,NA,NA,NA,NA,NA,NA
512,BKBROW,2022-12-02 EST,40.672,-73.898,24,45.6,33.1,39.5,NA,NA,NA,68,41.1,55.5,34.9,18.4,24.6,0,NA,NA,NA,0,NA,NA,49.9,47.1,48.5,NA,NA,NA,NA,NA,NA,NA
513,BKBROW,2022-12-03 EST,40.672,-73.898,24,57.9,45.5,52.9,NA,NA,NA,93.5,48,78.8,54.6,28.2,46.1,0.398,NA,NA,NA,0,NA,NA,52.2,48.6,50.4,NA,NA,NA,NA,NA,NA,NA
514,BKBROW,2022-12-04 EST,40.672,-73.898,24,48.1,39.1,43.3,NA,NA,NA,56.4,34.4,44.6,28.4,20.5,22.9,0,NA,NA,NA,0,NA,NA,52,48.7,50.4,NA,NA,NA,NA,NA,NA,NA
515,BKBROW,2022-12-05 EST,40.672,-73.898,24,47,36.5,42,NA,NA,NA,81.6,25.7,56.5,37,13.1,26.5,0,NA,NA,NA,0,NA,NA,50.5,47.6,49.1,NA,NA,NA,NA,NA,NA,NA
516,BKBROW,2022-12-06 EST,40.672,-73.898,24,56.8,40.3,51.4,NA,NA,NA,96.5,78.9,88,54.7,34.9,47.9,0.526,NA,NA,NA,0,NA,NA,52,48.2,49.7,NA,NA,NA,NA,NA,NA,NA
517,BKBROW,2022-12-07 EST,40.672,-73.898,24,58.3,54.4,55.9,NA,NA,NA,98.3,90.2,95.9,57.5,52.1,54.7,0.411,NA,NA,NA,0,NA,NA,54.3,52,53.4,NA,NA,NA,NA,NA,NA,NA
518,BKBROW,2022-12-08 EST,40.672,-73.898,24,56.2,43.4,51.6,NA,NA,NA,89.2,45.9,62,51.9,29.3,38.7,0,NA,NA,NA,0,NA,NA,54.2,52.6,53.4,NA,NA,NA,NA,NA,NA,NA
519,BKBROW,2022-12-09 EST,40.672,-73.898,24,47.9,36.4,41.1,NA,NA,NA,66.2,32.2,49.5,29.1,9.7,23.2,0,NA,NA,NA,0,NA,NA,52.7,49.6,51.3,NA,NA,NA,NA,NA,NA,NA
520,BKBROW,2022-12-10 EST,40.672,-73.898,24,42.1,32.2,37,NA,NA,NA,71.7,33.9,56.4,29.8,10.3,22.5,0,NA,NA,NA,0,NA,NA,50.4,47.3,49,NA,NA,NA,NA,NA,NA,NA
521,BKBROW,2022-12-11 EST,40.672,-73.898,24,40.9,33.7,38.2,NA,NA,NA,94.8,70.8,81.9,37.3,29.1,33,0.269,NA,NA,NA,0,NA,NA,48.7,47.8,48.3,NA,NA,NA,NA,NA,NA,NA
522,BKBROW,2022-12-12 EST,40.672,-73.898,24,42.3,30.7,35.3,NA,NA,NA,94.5,54.1,73.3,32,19.1,27.3,0.026,NA,NA,NA,0,NA,NA,49.3,46.6,47.7,NA,NA,NA,NA,NA,NA,NA
523,BKBROW,2022-12-13 EST,40.672,-73.898,24,41.8,27.7,34.4,NA,NA,NA,70.5,35.4,53.4,21,15.3,18.6,0,NA,NA,NA,0,NA,NA,47.8,44.4,46.1,NA,NA,NA,NA,NA,NA,NA
524,BKBROW,2022-12-14 EST,40.672,-73.898,24,41.2,32.3,36,NA,NA,NA,64.2,32.3,49.1,21.5,10.6,18.1,0,NA,NA,NA,0,NA,NA,47.1,43.7,45.4,NA,NA,NA,NA,NA,NA,NA
525,BKBROW,2022-12-15 EST,40.672,-73.898,24,42.9,33.6,39,NA,NA,NA,91.8,58.6,77.1,40.4,21,32.2,0.58,NA,NA,NA,0,NA,NA,45.3,44.4,44.8,NA,NA,NA,NA,NA,NA,NA
526,BKBROW,2022-12-16 EST,40.672,-73.898,24,46.7,39.8,43.2,NA,NA,NA,95.7,86.9,92.3,44.9,36.8,41.1,0.666,NA,NA,NA,0,NA,NA,46.9,45.1,46.1,NA,NA,NA,NA,NA,NA,NA
527,BKBROW,2022-12-17 EST,40.672,-73.898,24,48.6,37.5,41.3,NA,NA,NA,89.1,41.5,61.7,37.8,19.1,28.4,0,NA,NA,NA,0,NA,NA,48.6,45.3,46.8,NA,NA,NA,NA,NA,NA,NA
528,BKBROW,2022-12-18 EST,40.672,-73.898,24,43.2,33.5,37.4,NA,NA,NA,64.6,40,53.1,24.8,19.3,21.7,0,NA,NA,NA,0,NA,NA,47.5,44.6,45.9,NA,NA,NA,NA,NA,NA,NA
529,BKBROW,2022-12-19 EST,40.672,-73.898,24,41.6,31.6,35.1,NA,NA,NA,65.3,40.1,53.9,21.6,18.1,19.9,0,NA,NA,NA,0,NA,NA,46.6,43.2,44.8,NA,NA,NA,NA,NA,NA,NA
530,BKBROW,2022-12-20 EST,40.672,-73.898,24,42.6,31.8,36.1,NA,NA,NA,62.7,39.3,51.8,21.8,17.7,19.8,0,NA,NA,NA,0,NA,NA,46,42.6,44.3,NA,NA,NA,NA,NA,NA,NA
531,BKBROW,2022-12-21 EST,40.672,-73.898,24,41.8,29,35.1,NA,NA,NA,73.4,44,60.2,27,18.3,22.4,0,NA,NA,NA,0,NA,NA,45.5,42.3,43.8,NA,NA,NA,NA,NA,NA,NA
532,BKBROW,2022-12-22 EST,40.672,-73.898,24,55.4,33.9,42.2,NA,NA,NA,96.5,56.9,77.1,53.4,22.1,35.3,0.174,NA,NA,NA,0,NA,NA,45.4,42.8,43.9,NA,NA,NA,NA,NA,NA,NA
533,BKBROW,2022-12-23 EST,40.672,-73.898,24,56.7,10.1,37.5,NA,NA,NA,98.5,42,76.1,55.5,-7.7,30.2,0.8,NA,NA,NA,0,NA,NA,49.5,42.4,46.8,NA,NA,NA,NA,NA,NA,NA
534,BKBROW,2022-12-24 EST,40.672,-73.898,24,16.2,8.1,12.6,NA,NA,NA,56.5,38.3,45.5,-0.7,-8.9,-4.6,0,NA,NA,NA,0,NA,NA,42.4,37.9,39.5,NA,NA,NA,NA,NA,NA,NA
535,BKBROW,2022-12-25 EST,40.672,-73.898,24,28.1,14.7,21.8,NA,NA,NA,57.9,39.7,48.2,8.3,-0.9,5.1,0,NA,NA,NA,0,NA,NA,37.9,37,37.2,NA,NA,NA,NA,NA,NA,NA
536,BKBROW,2022-12-26 EST,40.672,-73.898,24,29.8,19.2,25.2,NA,NA,NA,56.9,40.1,47.1,11.8,3.9,7.7,0,NA,NA,NA,0,NA,NA,37.4,36.5,37,NA,NA,NA,NA,NA,NA,NA
537,BKBROW,2022-12-27 EST,40.672,-73.898,24,36.1,29.3,32.5,NA,NA,NA,59.4,41.3,47.7,22.3,9,14.7,0,NA,NA,NA,0,NA,NA,39.7,37.2,38.2,NA,NA,NA,NA,NA,NA,NA
538,BKBROW,2022-12-28 EST,40.672,-73.898,24,47.6,33.3,40.6,NA,NA,NA,71.3,37.8,51.5,26.3,19.6,23.5,0,NA,NA,NA,0,NA,NA,41.9,38.7,40.2,NA,NA,NA,NA,NA,NA,NA
539,BKBROW,2022-12-29 EST,40.672,-73.898,24,49.8,38.3,44,NA,NA,NA,72.5,42.6,55.7,37,25.4,29,0,NA,NA,NA,0,NA,NA,43.3,40.3,41.8,NA,NA,NA,NA,NA,NA,NA
