,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
8790,BKBROW,2024-04-01 EDT,40.672,-73.898,24,55.8,48.1,52.1,NA,NA,NA,87.2,41.5,57.9,44.8,30.4,37.1,0.02,NA,NA,NA,0,NA,NA,58.8,55,56.2,NA,NA,NA,NA,NA,NA,NA
8791,BKBROW,2024-04-02 EDT,40.672,-73.898,24,49.9,44.3,46.9,NA,NA,NA,93.7,80.6,89.4,46,41.8,43.9,0.971,NA,NA,NA,0,NA,NA,55,51.8,53.3,NA,NA,NA,NA,NA,NA,NA
8792,BKBROW,2024-04-03 EDT,40.672,-73.898,24,44.8,41.2,42.8,NA,NA,NA,94.3,85.2,90.7,42.6,38.4,40.3,1.599,NA,NA,NA,0,NA,NA,51.8,47.8,49.6,NA,NA,NA,NA,NA,NA,NA
8793,BKBROW,2024-04-04 EDT,40.672,-73.898,24,53.5,37.7,44.4,NA,NA,NA,94.6,45.5,70.3,40.1,31.2,34.6,0.206,NA,NA,NA,0,NA,NA,54.1,46.9,49.9,NA,NA,NA,NA,NA,NA,NA
8794,BKBROW,2024-04-05 EDT,40.672,-73.898,24,52.2,40.5,45.4,NA,NA,NA,77,34.5,53.5,34.3,24.2,28.7,0,NA,NA,NA,0,NA,NA,55,49.1,51.8,NA,NA,NA,NA,NA,NA,NA
8795,BKBROW,2024-04-06 EDT,40.672,-73.898,24,57,41.8,48.3,NA,NA,NA,69.4,31.8,49.1,35.7,26,29.3,0,NA,NA,NA,0,NA,NA,57.2,48.7,52.5,NA,NA,NA,NA,NA,NA,NA
8796,BKBROW,2024-04-07 EDT,40.672,-73.898,24,60.5,43.4,50.5,NA,NA,NA,75.4,30.7,48.4,38.9,26.8,30.7,0,NA,NA,NA,0,NA,NA,62.2,50.2,55.2,NA,NA,NA,NA,NA,NA,NA
8797,BKBROW,2024-04-08 EDT,40.672,-73.898,24,69,44.1,54,NA,NA,NA,78.1,14.5,48.9,46,17,32.2,0,NA,NA,NA,0,NA,NA,63.5,51.9,57.1,NA,NA,NA,NA,NA,NA,NA
8798,BKBROW,2024-04-09 EDT,40.672,-73.898,24,75.9,51.2,61.2,NA,NA,NA,75.9,25.5,49.6,45.3,34.9,40.5,0,NA,NA,NA,0,NA,NA,67.1,55,60.3,NA,NA,NA,NA,NA,NA,NA
8799,BKBROW,2024-04-10 EDT,40.672,-73.898,24,63.5,51.1,55.1,NA,NA,NA,85.9,62.2,75,51.6,42.1,47.2,0,NA,NA,NA,0,NA,NA,63.1,57.5,60.3,NA,NA,NA,NA,NA,NA,NA
8800,BKBROW,2024-04-11 EDT,40.672,-73.898,24,59.5,50.6,54.4,NA,NA,NA,97.4,75.3,89.1,57.1,46.3,51.2,0.133,NA,NA,NA,0,NA,NA,60.8,57.4,59,NA,NA,NA,NA,NA,NA,NA
8801,BKBROW,2024-04-12 EDT,40.672,-73.898,24,63.1,52.8,57.6,NA,NA,NA,98.8,43.9,79.9,56.6,39.8,50.5,0.315,NA,NA,NA,0,NA,NA,59.9,57.4,58.5,NA,NA,NA,NA,NA,NA,NA
8802,BKBROW,2024-04-13 EDT,40.672,-73.898,24,57.9,49.3,52.9,NA,NA,NA,74,41.3,52.6,46.5,31.2,35.8,0.006,NA,NA,NA,0,NA,NA,57.3,54.7,56.1,NA,NA,NA,NA,NA,NA,NA
8803,BKBROW,2024-04-14 EDT,40.672,-73.898,24,66.3,48.4,57.4,NA,NA,NA,74.4,30.5,50.7,53.1,30.6,38.6,0.025,NA,NA,NA,0,NA,NA,61.3,52.3,56.6,NA,NA,NA,NA,NA,NA,NA
8804,BKBROW,2024-04-15 EDT,40.672,-73.898,24,83.7,57.1,68.2,NA,NA,NA,84.8,20,54.3,54.7,35.6,48.3,0,NA,NA,NA,0,NA,NA,70.8,56.8,62.8,NA,NA,NA,NA,NA,NA,NA
8805,BKBROW,2024-04-16 EDT,40.672,-73.898,24,75.5,55.8,63.8,NA,NA,NA,47.7,15.7,33.4,39.7,24.7,32.7,0,NA,NA,NA,0,NA,NA,73,59.7,65.5,NA,NA,NA,NA,NA,NA,NA
8806,BKBROW,2024-04-17 EDT,40.672,-73.898,24,60.2,49.9,54.4,NA,NA,NA,85.9,38.5,61.6,46.8,33.7,40.6,0.048,NA,NA,NA,0,NA,NA,65.8,60.8,63,NA,NA,NA,NA,NA,NA,NA
8807,BKBROW,2024-04-18 EDT,40.672,-73.898,24,50.1,46.3,47.6,NA,NA,NA,95.4,69.9,85.6,47.1,37.6,43.4,0.061,NA,NA,NA,0,NA,NA,60.8,56.7,58.5,NA,NA,NA,NA,NA,NA,NA
8808,BKBROW,2024-04-19 EDT,40.672,-73.898,24,55.2,45.5,49.2,NA,NA,NA,87.2,60.5,74.4,44.7,37.4,41.2,0,NA,NA,NA,0,NA,NA,62.1,55,58.1,NA,NA,NA,NA,NA,NA,NA
