,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
15809,BKBROW,2025-05-01 EDT,40.672,-73.898,24,66.4,54.6,60.4,NA,NA,NA,74.8,21.1,40.5,50.3,24.9,34.9,0,NA,NA,NA,0,NA,NA,75.6,66.4,70.8,NA,NA,NA,NA,NA,NA,NA
15810,BKBROW,2025-05-02 EDT,40.672,-73.898,24,79.5,56.6,66.1,NA,NA,NA,96.3,48.9,74.2,60.6,50.7,56.9,0,NA,NA,NA,0,NA,NA,76.8,67.5,71.4,NA,NA,NA,NA,NA,NA,NA
15811,BKBROW,2025-05-03 EDT,40.672,-73.898,24,77.9,59.1,66.9,NA,NA,NA,87.5,52.6,72.5,60.5,55.3,57.4,0,NA,NA,NA,0,NA,NA,78.1,68.9,73.1,NA,NA,NA,NA,NA,NA,NA
15812,BKBROW,2025-05-04 EDT,40.672,-73.898,24,67,59,61.6,NA,NA,NA,97.9,70.7,88.4,63.1,55,58,0.235,NA,NA,NA,0,NA,NA,74.3,68.5,71.1,NA,NA,NA,NA,NA,NA,NA
15813,BKBROW,2025-05-05 EDT,40.672,-73.898,24,63.7,58.9,60.8,NA,NA,NA,98.5,85.2,95.8,61.8,58.2,59.6,0.738,NA,NA,NA,0,NA,NA,68.5,65.8,67,NA,NA,NA,NA,NA,NA,NA
15814,BKBROW,2025-05-06 EDT,40.672,-73.898,24,64.1,57.1,59.3,NA,NA,NA,99.3,84.9,96.6,60,56.7,58.3,0.424,NA,NA,NA,0,NA,NA,66,64.2,65,NA,NA,NA,NA,NA,NA,NA
15815,BKBROW,2025-05-07 EDT,40.672,-73.898,24,72.7,56.5,64.2,NA,NA,NA,97.9,42.3,67.2,57,47.3,52.2,0.006,NA,NA,NA,0,NA,NA,73,62.2,67,NA,NA,NA,NA,NA,NA,NA
15816,BKBROW,2025-05-08 EDT,40.672,-73.898,24,76.5,61.6,67.7,NA,NA,NA,82.7,43.1,62.1,59,50.1,53.7,0,NA,NA,NA,0,NA,NA,75.6,65.5,69.9,NA,NA,NA,NA,NA,NA,NA
15817,BKBROW,2025-05-09 EDT,40.672,-73.898,24,62.1,55.4,59.1,NA,NA,NA,96.6,77.9,88.9,59.4,48.7,55.8,0.665,NA,NA,NA,0,NA,NA,70.7,65.1,67.2,NA,NA,NA,NA,NA,NA,NA
15818,BKBROW,2025-05-10 EDT,40.672,-73.898,24,76,52,64.4,NA,NA,NA,78,20.1,45.9,48.6,29.3,40.1,0,NA,NA,NA,0,NA,NA,75,62.6,68,NA,NA,NA,NA,NA,NA,NA
15819,BKBROW,2025-05-11 EDT,40.672,-73.898,24,83.8,58.7,71,NA,NA,NA,53.4,16.8,34.1,47.4,28.9,39.6,0,NA,NA,NA,0,NA,NA,77.7,65.5,71,NA,NA,NA,NA,NA,NA,NA
15820,BKBROW,2025-05-12 EDT,40.672,-73.898,24,69.3,58.6,63.5,NA,NA,NA,86.9,23.8,49.2,58.2,28.2,42.4,0,NA,NA,NA,0,NA,NA,75.9,66.7,71.2,NA,NA,NA,NA,NA,NA,NA
15821,BKBROW,2025-05-13 EDT,40.672,-73.898,24,71.4,60.9,64.2,NA,NA,NA,95,61.4,82.7,60.9,56.8,58.7,0.168,NA,NA,NA,0,NA,NA,71.1,67.8,68.9,NA,NA,NA,NA,NA,NA,NA
15822,BKBROW,2025-05-14 EDT,40.672,-73.898,24,64.9,60.2,61.8,NA,NA,NA,98,76.2,91.3,60.8,56.8,59.2,0.805,NA,NA,NA,0,NA,NA,67.8,65.5,66.2,NA,NA,NA,NA,NA,NA,NA
15823,BKBROW,2025-05-15 EDT,40.672,-73.898,24,71.8,60.2,63.9,NA,NA,NA,99.3,75.1,92.3,64.4,60,61.5,0.004,NA,NA,NA,0,NA,NA,68.9,65,66.7,NA,NA,NA,NA,NA,NA,NA
15824,BKBROW,2025-05-16 EDT,40.672,-73.898,24,71.2,60.2,63.8,NA,NA,NA,98.3,72.4,92.1,64.1,59.7,61.4,0.097,NA,NA,NA,0,NA,NA,69.3,66,67.7,NA,NA,NA,NA,NA,NA,NA
15825,BKBROW,2025-05-17 EDT,40.672,-73.898,24,83.5,62.3,71.3,NA,NA,NA,95.8,37.5,72.3,64.8,49.7,60.6,0,NA,NA,NA,0,NA,NA,74.3,66,69.4,NA,NA,NA,NA,NA,NA,NA
15826,BKBROW,2025-05-18 EDT,40.672,-73.898,24,78.6,62.5,70.5,NA,NA,NA,60.5,35,46.9,50.9,45.8,48.9,0,NA,NA,NA,0,NA,NA,76.5,67.8,72,NA,NA,NA,NA,NA,NA,NA
15827,BKBROW,2025-05-19 EDT,40.672,-73.898,24,76.2,55.4,65.9,NA,NA,NA,68.3,20.2,42.2,50,28.4,40.6,0,NA,NA,NA,0,NA,NA,78.2,68.2,72.8,NA,NA,NA,NA,NA,NA,NA
15828,BKBROW,2025-05-20 EDT,40.672,-73.898,24,71.9,51.3,61,NA,NA,NA,71.8,30.3,46.4,49.8,35.3,39.4,0,NA,NA,NA,0,NA,NA,78.1,67,72.3,NA,NA,NA,NA,NA,NA,NA
15829,BKBROW,2025-05-21 EDT,40.672,-73.898,24,59.1,49.1,53.4,NA,NA,NA,92.5,63.9,78.3,50,43.7,46.7,0.137,NA,NA,NA,0,NA,NA,73,63.9,67.9,NA,NA,NA,NA,NA,NA,NA
15830,BKBROW,2025-05-22 EDT,40.672,-73.898,24,53.7,48.5,50.5,NA,NA,NA,95.1,80.6,89.8,49.5,44.5,47.6,0.871,NA,NA,NA,0,NA,NA,63.9,60.4,61.7,NA,NA,NA,NA,NA,NA,NA
15831,BKBROW,2025-05-23 EDT,40.672,-73.898,24,66.3,48.1,54.4,NA,NA,NA,95,48.2,77.3,51.7,43.9,47.1,0.061,NA,NA,NA,0,NA,NA,63.1,59.4,61,NA,NA,NA,NA,NA,NA,NA
15832,BKBROW,2025-05-24 EDT,40.672,-73.898,24,68.5,51,59.4,NA,NA,NA,73.1,38.3,56.5,47.6,40.8,43.4,0,NA,NA,NA,0,NA,NA,67.8,59.7,63.4,NA,NA,NA,NA,NA,NA,NA
15833,BKBROW,2025-05-25 EDT,40.672,-73.898,24,70.9,53.5,62.9,NA,NA,NA,73.2,35.6,51.1,46,41.5,43.8,0,NA,NA,NA,0,NA,NA,69,61.7,65.4,NA,NA,NA,NA,NA,NA,NA
15834,BKBROW,2025-05-26 EDT,40.672,-73.898,24,78.8,54.7,65.1,NA,NA,NA,74.5,24,51.4,51.8,38.1,45.4,0,NA,NA,NA,0,NA,NA,75.6,63.1,68.6,NA,NA,NA,NA,NA,NA,NA
15835,BKBROW,2025-05-27 EDT,40.672,-73.898,24,75.8,58.4,65.8,NA,NA,NA,73.1,32.3,55.9,53.1,43.3,48.9,0,NA,NA,NA,0,NA,NA,71.8,66,69.2,NA,NA,NA,NA,NA,NA,NA
15836,BKBROW,2025-05-28 EDT,40.672,-73.898,24,67,54,60,NA,NA,NA,95.8,35.7,65.3,54.5,37.2,47.6,0.218,NA,NA,NA,0,NA,NA,68.9,64.8,66.7,NA,NA,NA,NA,NA,NA,NA
15837,BKBROW,2025-05-29 EDT,40.672,-73.898,24,68.3,56,61.6,NA,NA,NA,97.1,69.1,86.4,59.6,54.5,57.2,0.102,NA,NA,NA,0,NA,NA,67.8,63.5,65.5,NA,NA,NA,NA,NA,NA,NA
15838,BKBROW,2025-05-30 EDT,40.672,-73.898,24,71.8,60.5,64.1,NA,NA,NA,96.5,72.2,88.1,63.3,58.1,60.4,0.003,NA,NA,NA,0,NA,NA,71.8,64.4,67.5,NA,NA,NA,NA,NA,NA,NA
15839,BKBROW,2025-05-31 EDT,40.672,-73.898,24,73,55.6,64.3,NA,NA,NA,98.5,44,68.3,61.4,40.3,52.6,0.481,NA,NA,NA,0,NA,NA,71.8,66.7,69.1,NA,NA,NA,NA,NA,NA,NA
15840,BKMAPL,2025-05-01 EDT,40.623,-73.975,52,67.4,56.1,60.9,NA,NA,NA,74.8,21.3,41.7,49.8,24.8,36,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9
15841,BKMAPL,2025-05-02 EDT,40.623,-73.975,52,82.6,57,67.8,NA,NA,NA,94.6,46.1,72.1,61,50.5,57.7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3
15842,BKMAPL,2025-05-03 EDT,40.623,-73.975,52,86.6,59.9,70.9,NA,NA,NA,86.4,37.9,66.5,62,55.7,58.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3
15843,BKMAPL,2025-05-04 EDT,40.623,-73.975,52,67.9,58.8,62.4,NA,NA,NA,98.6,71.5,87.7,64.1,55.2,58.5,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2
15844,BKMAPL,2025-05-05 EDT,40.623,-73.975,52,64,58.3,60.6,NA,NA,NA,99.3,87.7,96.7,62.6,57.9,59.6,0.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8
15845,BKMAPL,2025-05-06 EDT,40.623,-73.975,52,64.3,57.5,59.2,NA,NA,NA,99.5,86.5,97.1,61.6,57.2,58.4,0.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8
15846,BKMAPL,2025-05-07 EDT,40.623,-73.975,52,74.2,56,64.9,NA,NA,NA,98.9,44.3,67.5,57.2,49.7,53.1,0.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9
