,station,time,latitude [degrees_north],longitude [degrees_east],elevation [feet],temp_2m_max [degF],temp_2m_min [degF],temp_2m_avg [degF],temp_9m_max [degF],temp_9m_min [degF],temp_9m_avg [degF],relative_humidity_max [percent],relative_humidity_min [percent],relative_humidity_avg [percent],dewpoint_max [degF],dewpoint_min [degF],dewpoint_avg [degF],precip_total [inch],wind_speed_prop_avg [mile/hr],wind_speed_prop_max [mile/hr],wind_direction_prop_avg [degrees],frozen_soil_05cm_count_5min [count],frozen_soil_25cm_count_5min [count],frozen_soil_50cm_count_5min [count],soil_temp_05cm_max [degF],soil_temp_05cm_min [degF],soil_temp_05cm_avg [degF],soil_temp_25cm_max [degF],soil_temp_25cm_min [degF],soil_temp_25cm_avg [degF],soil_temp_50cm_max [degF],soil_temp_50cm_min [degF],soil_temp_50cm_avg [degF],solar_insolation_total [MJ/m^2]
9827,BKBROW,2024-06-01 EDT,40.672,-73.898,24,89.5,64.3,76.5,NA,NA,NA,40.6,17.4,28.7,48.6,35.7,40.9,0,NA,NA,NA,0,NA,NA,86.7,72.3,78.7,NA,NA,NA,NA,NA,NA,NA
9828,BKBROW,2024-06-02 EDT,40.672,-73.898,24,82,68.3,74.1,NA,NA,NA,76.4,31.2,49.5,63.8,43.8,53.3,0,NA,NA,NA,0,NA,NA,83.5,75,78.9,NA,NA,NA,NA,NA,NA,NA
9829,BKBROW,2024-06-03 EDT,40.672,-73.898,24,91,71,78.1,NA,NA,NA,79,26.6,54.6,64.7,51,59.2,0.007,NA,NA,NA,0,NA,NA,87.3,75.9,80.8,NA,NA,NA,NA,NA,NA,NA
9830,BKBROW,2024-06-04 EDT,40.672,-73.898,24,76.3,66.3,71,NA,NA,NA,89,58.9,76.6,65.9,60,63.1,0,NA,NA,NA,0,NA,NA,87.3,77.7,82,NA,NA,NA,NA,NA,NA,NA
9831,BKBROW,2024-06-05 EDT,40.672,-73.898,24,76.8,65.2,69.9,NA,NA,NA,95.7,72.1,87.1,68.2,62.8,65.8,0,NA,NA,NA,0,NA,NA,85.6,77.7,80.9,NA,NA,NA,NA,NA,NA,NA
9832,BKBROW,2024-06-06 EDT,40.672,-73.898,24,84.9,68.8,75.3,NA,NA,NA,98.8,60.1,83.2,73.6,63.6,69.5,1.916,NA,NA,NA,0,NA,NA,81.5,72.7,78.4,NA,NA,NA,NA,NA,NA,NA
9833,BKBROW,2024-06-07 EDT,40.672,-73.898,24,88.3,69.6,77.1,NA,NA,NA,87.9,23,52.7,67.6,41.8,56.3,0,NA,NA,NA,0,NA,NA,84.6,75.6,79.3,NA,NA,NA,NA,NA,NA,NA
9834,BKBROW,2024-06-08 EDT,40.672,-73.898,24,84.1,65.3,74.8,NA,NA,NA,59.9,31.1,42.2,52.5,46.9,49.6,0,NA,NA,NA,0,NA,NA,85.1,73.9,79.1,NA,NA,NA,NA,NA,NA,NA
9835,BKBROW,2024-06-09 EDT,40.672,-73.898,24,82.2,69.2,73.4,NA,NA,NA,75.3,31.7,50.3,61.3,44.4,53.1,0.021,NA,NA,NA,0,NA,NA,80.4,74.7,77.1,NA,NA,NA,NA,NA,NA,NA
9836,BKBROW,2024-06-10 EDT,40.672,-73.898,24,79.8,64.1,71.8,NA,NA,NA,57.9,32,44,51.8,45.3,48.3,0,NA,NA,NA,0,NA,NA,82,72.7,77.2,NA,NA,NA,NA,NA,NA,NA
